arg(a0).
arg(a10).
arg(a1).
arg(a15).
arg(a18).
arg(a22).
arg(a25).
arg(a46).
arg(a47).
arg(a2).
arg(a4).
arg(a16).
arg(a29).
arg(a33).
arg(a41).
arg(a44).
arg(a3).
arg(a8).
arg(a5).
arg(a6).
arg(a12).
arg(a20).
arg(a9).
arg(a19).
arg(a32).
arg(a43).
arg(a31).
arg(a7).
arg(a27).
arg(a34).
arg(a42).
arg(a48).
arg(a21).
arg(a35).
arg(a49).
arg(a13).
arg(a14).
arg(a45).
arg(a11).
arg(a37).
arg(a40).
arg(a23).
arg(a28).
arg(a17).
arg(a30).
arg(a26).
arg(a39).
arg(a36).

att(a0,a10):-0.69.
att(a10,a14):-0.23.
att(a10,a31):-0.72.
att(a10,a35):-0.5.
att(a10,a42):-0.8.
att(a10,a43):-0.38.
att(a10,a45):-0.16.
att(a1,a15):-0.79.
att(a1,a18):-0.3.
att(a1,a22):-0.72.
att(a1,a25):-0.64.
att(a1,a46):-0.75.
att(a1,a47):-0.77.
att(a15,a22):-0.66.
att(a15,a23):-0.55.
att(a15,a28):-0.91.
att(a15,a40):-0.83.
att(a15,a48):-0.87.
att(a15,a49):-0.52.
att(a18,a28):-0.26.
att(a18,a37):-0.99.
att(a18,a40):-0.51.
att(a18,a45):-0.71.
att(a22,a32):-0.29.
att(a25,a26):-0.33.
att(a25,a34):-0.76.
att(a25,a35):-0.53.
att(a2,a4):-0.84.
att(a2,a16):-0.29.
att(a2,a29):-0.83.
att(a2,a33):-0.11.
att(a2,a41):-0.41.
att(a2,a44):-0.96.
att(a4,a5):-0.85.
att(a4,a6):-0.42.
att(a4,a12):-0.34.
att(a4,a16):-0.21.
att(a4,a20):-0.29.
att(a4,a22):-0.68.
att(a4,a33):-0.62.
att(a4,a46):-0.46.
att(a16,a40):-0.65.
att(a29,a40):-0.75.
att(a33,a48):-0.23.
att(a3,a8):-0.73.
att(a3,a15):-0.89.
att(a3,a18):-0.7.
att(a8,a21):-0.71.
att(a8,a35):-0.98.
att(a8,a49):-0.17.
att(a5,a9):-0.94.
att(a5,a19):-0.38.
att(a5,a32):-0.3.
att(a5,a43):-0.45.
att(a6,a15):-0.41.
att(a6,a31):-0.55.
att(a12,a16):-0.29.
att(a12,a19):-0.13.
att(a12,a21):-0.4.
att(a12,a31):-0.39.
att(a12,a37):-0.39.
att(a20,a22):-0.32.
att(a20,a32):-0.15.
att(a20,a34):-0.42.
att(a20,a43):-0.53.
att(a9,a12):-0.45.
att(a9,a13):-0.68.
att(a9,a19):-0.78.
att(a9,a21):-0.67.
att(a9,a29):-0.4.

# number of nodes = 48
# number of edges = 70
