arg(a0).
arg(a42).
arg(a1).
arg(a13).
arg(a15).
arg(a17).
arg(a18).
arg(a27).
arg(a35).
arg(a2).
arg(a4).
arg(a39).
arg(a47).
arg(a3).
arg(a10).
arg(a19).
arg(a38).
arg(a32).
arg(a33).
arg(a36).
arg(a5).
arg(a6).
arg(a31).
arg(a37).
arg(a40).
arg(a7).
arg(a11).
arg(a24).
arg(a44).
arg(a45).
arg(a8).
arg(a20).
arg(a46).
arg(a49).
arg(a9).
arg(a12).
arg(a21).
arg(a22).
arg(a26).
arg(a48).
arg(a28).
arg(a29).
arg(a14).
arg(a16).
arg(a23).
arg(a30).
arg(a43).
arg(a41).
arg(a34).

att(a0,a42):-0.29.
att(a42,a43):-0.25.
att(a1,a13):-0.58.
att(a1,a15):-0.73.
att(a1,a17):-0.93.
att(a1,a18):-0.38.
att(a1,a27):-0.92.
att(a1,a35):-0.19.
att(a13,a28):-0.47.
att(a13,a29):-0.94.
att(a13,a31):-0.99.
att(a13,a32):-0.35.
att(a13,a44):-0.97.
att(a13,a47):-0.27.
att(a15,a31):-0.41.
att(a17,a19):-0.4.
att(a17,a20):-0.19.
att(a17,a37):-0.34.
att(a17,a39):-0.64.
att(a18,a45):-0.16.
att(a27,a28):-0.93.
att(a27,a31):-0.26.
att(a27,a48):-0.35.
att(a35,a48):-0.58.
att(a2,a4):-0.46.
att(a2,a17):-0.4.
att(a2,a39):-0.81.
att(a2,a47):-0.27.
att(a4,a15):-0.87.
att(a4,a17):-0.57.
att(a4,a32):-0.4.
att(a4,a33):-0.62.
att(a4,a36):-0.54.
att(a39,a49):-0.26.
att(a3,a10):-0.12.
att(a3,a19):-0.6.
att(a3,a38):-0.66.
att(a10,a21):-0.43.
att(a10,a42):-0.94.
att(a10,a44):-0.86.
att(a10,a45):-0.93.
att(a10,a46):-0.55.
att(a19,a28):-0.18.
att(a19,a36):-0.74.
att(a19,a45):-0.85.
att(a32,a37):-0.26.
att(a33,a45):-0.19.
att(a36,a41):-0.26.
att(a36,a45):-0.11.
att(a5,a18):-0.92.
att(a6,a31):-0.11.
att(a6,a32):-0.92.
att(a6,a35):-0.9.
att(a6,a37):-0.66.
att(a6,a40):-0.78.
att(a31,a41):-0.42.
att(a37,a41):-0.11.
att(a37,a44):-0.17.
att(a7,a10):-0.4.
att(a7,a11):-0.49.
att(a7,a24):-0.1.
att(a7,a32):-0.25.
att(a7,a44):-0.45.
att(a7,a45):-0.74.
att(a11,a38):-0.93.
att(a11,a46):-0.77.
att(a24,a26):-0.59.
att(a24,a30):-0.51.
att(a24,a32):-0.58.
att(a24,a49):-0.83.

# number of nodes = 49
# number of edges = 70
