arg(a0).
arg(a42).
arg(a1).
arg(a10).
arg(a2).
arg(a6).
arg(a16).
arg(a18).
arg(a46).
arg(a49).
arg(a3).
arg(a34).
arg(a4).
arg(a11).
arg(a12).
arg(a15).
arg(a23).
arg(a28).
arg(a5).
arg(a17).
arg(a43).
arg(a47).
arg(a26).
arg(a39).
arg(a7).
arg(a13).
arg(a31).
arg(a8).
arg(a20).
arg(a45).
arg(a9).
arg(a22).
arg(a24).
arg(a37).
arg(a41).
arg(a32).
arg(a33).
arg(a44).
arg(a14).
arg(a40).
arg(a36).
arg(a29).
arg(a21).
arg(a19).
arg(a30).
arg(a25).
arg(a27).
arg(a38).
arg(a35).

att(a0,a42):-0.47.
att(a1,a10):-0.29.
att(a10,a11):-0.35.
att(a10,a12):-0.7.
att(a10,a37):-0.77.
att(a10,a41):-0.6.
att(a10,a46):-0.76.
att(a10,a49):-0.92.
att(a2,a6):-0.62.
att(a2,a16):-0.59.
att(a2,a18):-0.76.
att(a2,a46):-0.92.
att(a2,a49):-0.37.
att(a6,a26):-0.49.
att(a6,a39):-0.17.
att(a16,a36):-0.95.
att(a16,a42):-0.92.
att(a18,a21):-0.91.
att(a46,a47):-0.79.
att(a3,a10):-0.89.
att(a3,a34):-0.93.
att(a3,a42):-0.73.
att(a34,a37):-0.12.
att(a4,a11):-0.96.
att(a4,a12):-0.89.
att(a4,a15):-0.18.
att(a4,a23):-0.22.
att(a4,a28):-0.14.
att(a4,a46):-0.93.
att(a11,a12):-0.6.
att(a11,a32):-0.35.
att(a11,a33):-0.74.
att(a12,a44):-0.33.
att(a15,a40):-0.8.
att(a15,a45):-0.45.
att(a23,a34):-0.16.
att(a23,a36):-0.93.
att(a23,a42):-0.6.
att(a23,a43):-0.62.
att(a23,a49):-0.49.
att(a28,a33):-0.66.
att(a28,a42):-0.66.
att(a5,a11):-0.48.
att(a5,a17):-0.18.
att(a5,a43):-0.51.
att(a5,a47):-0.83.
att(a17,a20):-0.43.
att(a17,a29):-0.56.
att(a26,a29):-0.83.
att(a26,a32):-0.55.
att(a26,a47):-0.31.
att(a39,a43):-0.41.
att(a39,a45):-0.58.
att(a7,a12):-0.84.
att(a7,a13):-0.67.
att(a7,a16):-0.15.
att(a7,a17):-0.82.
att(a7,a31):-0.33.
att(a31,a38):-0.9.
att(a31,a43):-0.35.
att(a8,a11):-0.15.
att(a8,a17):-0.59.
att(a8,a20):-0.77.
att(a8,a23):-0.27.
att(a8,a45):-0.47.
att(a9,a15):-0.37.
att(a9,a22):-0.43.
att(a9,a23):-0.89.
att(a9,a24):-0.49.
att(a24,a31):-0.65.
att(a24,a32):-0.6.
att(a24,a34):-0.79.

# number of nodes = 49
# number of edges = 72
