arg(a0).
arg(a14).
arg(a1).
arg(a10).
arg(a31).
arg(a2).
arg(a21).
arg(a40).
arg(a45).
arg(a3).
arg(a37).
arg(a4).
arg(a6).
arg(a24).
arg(a48).
arg(a11).
arg(a32).
arg(a33).
arg(a7).
arg(a9).
arg(a17).
arg(a20).
arg(a30).
arg(a8).
arg(a35).
arg(a36).
arg(a16).
arg(a22).
arg(a29).
arg(a39).
arg(a47).
arg(a12).
arg(a13).
arg(a44).
arg(a15).
arg(a38).
arg(a41).
arg(a42).
arg(a34).
arg(a23).
arg(a19).
arg(a49).
arg(a27).
arg(a26).
arg(a25).
arg(a28).
arg(a43).
arg(a46).

att(a0,a14):-0.79.
att(a14,a22):-0.6.
att(a1,a10):-0.34.
att(a1,a31):-0.87.
att(a10,a16):-0.68.
att(a10,a22):-0.31.
att(a31,a36):-0.87.
att(a31,a41):-0.48.
att(a31,a45):-0.67.
att(a31,a48):-0.16.
att(a2,a21):-0.84.
att(a2,a31):-0.13.
att(a2,a40):-0.99.
att(a2,a45):-0.81.
att(a21,a47):-0.86.
att(a45,a46):-0.99.
att(a3,a10):-0.7.
att(a3,a37):-0.95.
att(a37,a43):-0.74.
att(a4,a6):-0.86.
att(a4,a24):-0.44.
att(a4,a48):-0.21.
att(a6,a11):-0.98.
att(a6,a32):-0.83.
att(a6,a33):-0.62.
att(a48,a49):-0.79.
att(a11,a21):-0.58.
att(a11,a29):-0.52.
att(a11,a36):-0.71.
att(a11,a39):-0.67.
att(a11,a40):-0.9.
att(a11,a47):-0.72.
att(a32,a48):-0.26.
att(a33,a36):-0.63.
att(a33,a40):-0.41.
att(a33,a44):-0.28.
att(a33,a45):-0.21.
att(a33,a47):-0.52.
att(a7,a9):-0.15.
att(a7,a17):-0.71.
att(a7,a20):-0.62.
att(a7,a21):-0.65.
att(a7,a30):-0.51.
att(a7,a40):-0.22.
att(a7,a45):-0.3.
att(a9,a32):-0.11.
att(a9,a35):-0.93.
att(a9,a36):-0.81.
att(a9,a40):-0.28.
att(a17,a23):-0.28.
att(a17,a29):-0.59.
att(a17,a35):-0.41.
att(a20,a45):-0.11.
att(a20,a49):-0.32.
att(a8,a37):-0.66.
att(a35,a40):-0.82.
att(a35,a44):-0.42.
att(a36,a48):-0.41.
att(a16,a30):-0.54.
att(a16,a33):-0.32.
att(a16,a34):-0.99.
att(a16,a37):-0.8.
att(a22,a27):-0.48.
att(a22,a30):-0.3.
att(a29,a31):-0.28.
att(a29,a34):-0.15.
att(a39,a42):-0.68.
att(a12,a48):-0.33.
att(a13,a16):-0.37.
att(a13,a20):-0.59.
att(a13,a24):-0.81.
att(a13,a31):-0.79.
att(a13,a39):-0.75.
att(a13,a44):-0.81.

# number of nodes = 48
# number of edges = 74
