arg(a0).
arg(a31).
arg(a1).
arg(a29).
arg(a41).
arg(a49).
arg(a2).
arg(a13).
arg(a23).
arg(a26).
arg(a47).
arg(a3).
arg(a8).
arg(a39).
arg(a44).
arg(a4).
arg(a43).
arg(a5).
arg(a14).
arg(a34).
arg(a48).
arg(a6).
arg(a30).
arg(a7).
arg(a10).
arg(a12).
arg(a22).
arg(a38).
arg(a45).
arg(a11).
arg(a15).
arg(a35).
arg(a9).
arg(a21).
arg(a25).
arg(a28).
arg(a32).
arg(a36).
arg(a42).
arg(a18).
arg(a20).
arg(a46).
arg(a19).
arg(a24).
arg(a33).
arg(a16).
arg(a17).
arg(a27).
arg(a37).
arg(a40).

att(a0,a31):-0.11.
att(a1,a29):-0.35.
att(a1,a41):-0.46.
att(a1,a49):-0.18.
att(a29,a40):-0.77.
att(a2,a13):-0.44.
att(a2,a23):-0.25.
att(a2,a26):-0.71.
att(a2,a29):-0.18.
att(a2,a47):-0.26.
att(a13,a14):-0.53.
att(a13,a19):-0.17.
att(a13,a35):-0.67.
att(a23,a27):-0.92.
att(a23,a29):-0.9.
att(a23,a44):-0.51.
att(a23,a45):-0.74.
att(a26,a32):-0.57.
att(a26,a35):-0.18.
att(a3,a8):-0.23.
att(a3,a23):-0.53.
att(a3,a39):-0.78.
att(a3,a41):-0.58.
att(a3,a44):-0.46.
att(a8,a11):-0.66.
att(a8,a15):-0.12.
att(a8,a22):-0.71.
att(a8,a35):-0.3.
att(a8,a43):-0.34.
att(a44,a47):-0.48.
att(a44,a49):-0.54.
att(a4,a8):-0.72.
att(a4,a41):-0.88.
att(a4,a43):-0.49.
att(a43,a45):-0.9.
att(a43,a47):-0.23.
att(a43,a49):-0.44.
att(a5,a14):-0.11.
att(a5,a34):-0.9.
att(a5,a48):-0.53.
att(a14,a21):-0.58.
att(a14,a49):-0.69.
att(a34,a42):-0.34.
att(a6,a30):-0.23.
att(a6,a43):-0.46.
att(a30,a48):-0.33.
att(a7,a10):-0.52.
att(a7,a12):-0.83.
att(a7,a22):-0.62.
att(a7,a38):-0.26.
att(a7,a44):-0.56.
att(a7,a45):-0.8.
att(a7,a47):-0.16.
att(a7,a49):-0.37.
att(a10,a25):-0.98.
att(a10,a28):-0.29.
att(a10,a32):-0.59.
att(a10,a47):-0.67.
att(a12,a18):-0.32.
att(a12,a20):-0.33.
att(a12,a46):-0.52.
att(a22,a46):-0.94.
att(a38,a40):-0.38.
att(a45,a48):-0.26.
att(a11,a31):-0.54.
att(a11,a36):-0.86.
att(a11,a42):-0.29.
att(a15,a24):-0.6.
att(a15,a33):-0.47.
att(a15,a43):-0.47.
att(a15,a47):-0.67.
att(a35,a48):-0.83.
att(a35,a49):-0.99.
att(a9,a21):-0.81.

# number of nodes = 50
# number of edges = 74
