arg(a0).
arg(a9).
arg(a1).
arg(a17).
arg(a25).
arg(a26).
arg(a2).
arg(a22).
arg(a24).
arg(a3).
arg(a6).
arg(a36).
arg(a4).
arg(a32).
arg(a44).
arg(a5).
arg(a11).
arg(a20).
arg(a33).
arg(a38).
arg(a43).
arg(a16).
arg(a28).
arg(a7).
arg(a8).
arg(a48).
arg(a27).
arg(a39).
arg(a40).
arg(a10).
arg(a47).
arg(a34).
arg(a12).
arg(a13).
arg(a29).
arg(a21).
arg(a42).
arg(a14).
arg(a15).
arg(a45).
arg(a35).
arg(a30).
arg(a18).
arg(a46).
arg(a19).
arg(a23).
arg(a37).
arg(a31).
arg(a41).
arg(a49).

att(a0,a9):-0.45.
att(a9,a17):-0.65.
att(a9,a26):-0.49.
att(a9,a27):-0.77.
att(a9,a39):-0.87.
att(a9,a40):-0.21.
att(a1,a17):-0.37.
att(a1,a25):-0.22.
att(a1,a26):-0.7.
att(a17,a30):-0.93.
att(a17,a44):-0.77.
att(a17,a48):-0.69.
att(a25,a29):-0.2.
att(a25,a32):-0.84.
att(a25,a42):-0.82.
att(a26,a29):-0.91.
att(a26,a34):-0.82.
att(a2,a22):-0.24.
att(a2,a24):-0.34.
att(a22,a32):-0.37.
att(a24,a25):-0.56.
att(a3,a6):-0.15.
att(a3,a36):-0.63.
att(a6,a16):-0.72.
att(a6,a25):-0.44.
att(a6,a28):-0.9.
att(a4,a32):-0.95.
att(a4,a44):-0.13.
att(a32,a47):-0.92.
att(a32,a48):-0.74.
att(a44,a49):-0.56.
att(a5,a11):-0.6.
att(a5,a20):-0.85.
att(a5,a33):-0.44.
att(a5,a38):-0.15.
att(a5,a43):-0.39.
att(a11,a24):-0.38.
att(a11,a34):-0.68.
att(a20,a44):-0.27.
att(a33,a34):-0.34.
att(a33,a41):-0.92.
att(a38,a43):-0.51.
att(a38,a44):-0.85.
att(a38,a46):-0.62.
att(a43,a46):-0.13.
att(a16,a25):-0.34.
att(a16,a33):-0.11.
att(a16,a35):-0.45.
att(a16,a43):-0.97.
att(a16,a44):-0.44.
att(a28,a37):-0.98.
att(a7,a28):-0.3.
att(a8,a25):-0.39.
att(a8,a44):-0.19.
att(a8,a48):-0.64.
att(a27,a37):-0.7.
att(a10,a22):-0.66.
att(a10,a47):-0.33.
att(a34,a42):-0.35.
att(a34,a48):-0.7.
att(a34,a49):-0.48.
att(a12,a13):-0.76.
att(a12,a17):-0.17.
att(a12,a20):-0.46.
att(a12,a29):-0.57.
att(a12,a32):-0.26.
att(a13,a21):-0.1.
att(a13,a40):-0.33.
att(a13,a42):-0.83.
att(a29,a47):-0.93.
att(a21,a22):-0.47.
att(a21,a25):-0.56.
att(a21,a36):-0.75.
att(a42,a45):-0.74.
att(a14,a17):-0.45.

# number of nodes = 50
# number of edges = 75
