arg(a0).
arg(a17).
arg(a1).
arg(a5).
arg(a2).
arg(a14).
arg(a3).
arg(a9).
arg(a19).
arg(a6).
arg(a7).
arg(a10).
arg(a11).
arg(a18).
arg(a8).
arg(a15).
arg(a13).
arg(a12).

att(a0,a17):-0.31.
att(a1,a5):-0.33.
att(a1,a17):-0.68.
att(a5,a9):-0.75.
att(a2,a14):-0.65.
att(a3,a5):-0.77.
att(a3,a9):-0.85.
att(a3,a19):-0.81.
att(a9,a14):-0.65.
att(a6,a7):-0.87.
att(a6,a10):-0.2.
att(a6,a11):-0.65.
att(a6,a14):-0.21.
att(a6,a18):-0.83.
att(a7,a8):-0.32.
att(a7,a15):-0.86.
att(a10,a13):-0.75.
att(a10,a14):-0.81.
att(a12,a14):-0.92.

# number of nodes = 18
# number of edges = 19
