arg(a0).
arg(a21).
arg(a1).
arg(a11).
arg(a19).
arg(a22).
arg(a2).
arg(a13).
arg(a15).
arg(a17).
arg(a3).
arg(a6).
arg(a4).
arg(a5).
arg(a9).
arg(a7).
arg(a8).
arg(a18).
arg(a10).
arg(a16).
arg(a23).
arg(a12).
arg(a14).
arg(a20).
arg(a24).

att(a0,a21):-0.22.
att(a1,a11):-0.22.
att(a1,a19):-0.48.
att(a1,a21):-0.32.
att(a1,a22):-0.66.
att(a19,a20):-0.72.
att(a2,a13):-0.35.
att(a2,a15):-0.33.
att(a2,a17):-0.68.
att(a2,a19):-0.98.
att(a17,a18):-0.84.
att(a17,a24):-0.55.
att(a3,a6):-0.4.
att(a3,a11):-0.27.
att(a6,a7):-0.83.
att(a6,a8):-0.45.
att(a4,a11):-0.37.
att(a4,a19):-0.22.
att(a5,a9):-0.11.
att(a5,a13):-0.19.
att(a9,a16):-0.23.
att(a9,a18):-0.82.
att(a7,a9):-0.5.
att(a7,a18):-0.45.
att(a8,a10):-0.31.
att(a8,a18):-0.94.
att(a10,a11):-0.52.
att(a10,a23):-0.32.
att(a12,a15):-0.47.
att(a12,a22):-0.49.
att(a12,a23):-0.21.
att(a14,a20):-0.17.

# number of nodes = 25
# number of edges = 32
