arg(a1).
arg(a19).
arg(a2).
arg(a13).
arg(a15).
arg(a20).
arg(a23).
arg(a5).
arg(a11).
arg(a6).
arg(a8).
arg(a14).
arg(a7).
arg(a10).
arg(a16).
arg(a12).
arg(a22).
arg(a24).
arg(a9).
arg(a17).
arg(a21).
arg(a18).

att(a1,a19):-0.42.
att(a2,a13):-0.43.
att(a2,a15):-0.56.
att(a2,a20):-0.66.
att(a2,a23):-0.82.
att(a13,a22):-0.91.
att(a20,a24):-0.7.
att(a5,a11):-0.49.
att(a6,a8):-0.4.
att(a6,a11):-0.37.
att(a6,a14):-0.49.
att(a6,a20):-0.46.
att(a6,a23):-0.72.
att(a8,a12):-0.51.
att(a8,a13):-0.44.
att(a8,a14):-0.21.
att(a8,a20):-0.37.
att(a8,a22):-0.54.
att(a8,a24):-0.21.
att(a7,a10):-0.63.
att(a7,a14):-0.74.
att(a7,a15):-0.61.
att(a7,a16):-0.64.
att(a9,a16):-0.98.
att(a17,a21):-0.11.
att(a21,a23):-0.3.
att(a18,a20):-0.16.

# number of nodes = 22
# number of edges = 27
