arg(a0).
arg(a19).
arg(a1).
arg(a14).
arg(a15).
arg(a17).
arg(a25).
arg(a2).
arg(a4).
arg(a12).
arg(a27).
arg(a3).
arg(a16).
arg(a9).
arg(a10).
arg(a5).
arg(a18).
arg(a23).
arg(a6).
arg(a7).
arg(a13).
arg(a24).
arg(a28).
arg(a11).
arg(a20).
arg(a26).
arg(a29).
arg(a21).
arg(a22).

att(a0,a19):-0.23.
att(a19,a20):-0.72.
att(a19,a29):-0.4.
att(a1,a14):-0.72.
att(a1,a15):-0.98.
att(a1,a17):-0.67.
att(a1,a25):-0.64.
att(a14,a20):-0.83.
att(a17,a26):-0.78.
att(a2,a4):-0.1.
att(a2,a12):-0.11.
att(a2,a14):-0.14.
att(a2,a27):-0.84.
att(a4,a9):-1.0.
att(a4,a10):-0.89.
att(a4,a15):-0.6.
att(a4,a17):-0.57.
att(a4,a27):-0.99.
att(a3,a16):-0.16.
att(a16,a20):-0.26.
att(a9,a12):-0.45.
att(a9,a19):-0.71.
att(a10,a25):-0.42.
att(a10,a27):-0.16.
att(a10,a28):-0.5.
att(a5,a9):-0.71.
att(a5,a18):-0.46.
att(a5,a23):-0.71.
att(a23,a26):-0.36.
att(a6,a17):-0.76.
att(a6,a18):-0.72.
att(a7,a9):-0.73.
att(a7,a10):-0.56.
att(a7,a13):-0.68.
att(a7,a24):-0.73.
att(a24,a26):-0.81.
att(a11,a23):-0.85.
att(a11,a28):-0.7.
att(a20,a21):-0.37.
att(a20,a24):-0.38.
att(a20,a28):-0.45.
att(a21,a22):-0.95.
att(a21,a23):-0.25.
att(a22,a24):-0.32.
att(a22,a25):-0.14.

# number of nodes = 29
# number of edges = 45
