arg(a1).
arg(a9).
arg(a3).
arg(a5).
arg(a22).
arg(a4).
arg(a16).
arg(a28).
arg(a19).
arg(a6).
arg(a10).
arg(a26).
arg(a7).
arg(a11).
arg(a8).
arg(a13).
arg(a25).
arg(a29).
arg(a27).
arg(a12).
arg(a21).
arg(a14).
arg(a17).

att(a1,a9):-0.98.
att(a9,a10):-0.28.
att(a9,a11):-0.61.
att(a3,a5):-0.71.
att(a3,a22):-0.67.
att(a5,a19):-0.8.
att(a4,a16):-0.8.
att(a4,a28):-0.62.
att(a16,a27):-0.5.
att(a19,a22):-0.55.
att(a6,a10):-0.56.
att(a6,a26):-0.44.
att(a10,a22):-0.27.
att(a10,a25):-0.49.
att(a10,a29):-0.9.
att(a7,a9):-0.79.
att(a7,a11):-0.59.
att(a11,a27):-0.15.
att(a8,a13):-0.43.
att(a12,a21):-0.63.
att(a12,a29):-0.31.
att(a14,a19):-0.85.
att(a14,a22):-0.12.
att(a17,a26):-0.72.

# number of nodes = 23
# number of edges = 24
