arg(a0).
arg(a29).
arg(a2).
arg(a7).
arg(a12).
arg(a13).
arg(a14).
arg(a20).
arg(a3).
arg(a22).
arg(a4).
arg(a18).
arg(a5).
arg(a21).
arg(a6).
arg(a25).
arg(a8).
arg(a9).
arg(a10).
arg(a11).
arg(a23).
arg(a27).
arg(a28).
arg(a15).
arg(a16).
arg(a26).

att(a0,a29):-0.71.
att(a2,a7):-0.54.
att(a2,a12):-0.56.
att(a2,a13):-0.62.
att(a2,a14):-0.24.
att(a2,a20):-0.13.
att(a13,a20):-0.38.
att(a13,a27):-0.32.
att(a13,a28):-0.15.
att(a14,a15):-0.11.
att(a14,a16):-0.37.
att(a14,a25):-0.22.
att(a14,a26):-0.41.
att(a20,a27):-0.87.
att(a20,a29):-0.88.
att(a3,a13):-0.42.
att(a3,a22):-0.8.
att(a22,a27):-0.31.
att(a4,a18):-0.55.
att(a5,a21):-0.68.
att(a6,a21):-0.99.
att(a6,a25):-0.35.
att(a8,a14):-0.25.
att(a9,a10):-0.3.
att(a9,a11):-0.51.
att(a10,a23):-0.35.
att(a15,a29):-0.84.
att(a16,a25):-0.83.

# number of nodes = 26
# number of edges = 28
