arg(a0).
arg(a29).
arg(a1).
arg(a14).
arg(a22).
arg(a26).
arg(a27).
arg(a28).
arg(a2).
arg(a4).
arg(a16).
arg(a23).
arg(a3).
arg(a5).
arg(a12).
arg(a17).
arg(a18).
arg(a6).
arg(a7).
arg(a8).
arg(a11).
arg(a15).
arg(a9).
arg(a19).
arg(a25).
arg(a13).
arg(a21).
arg(a20).

att(a0,a29):-0.75.
att(a1,a14):-0.94.
att(a1,a22):-0.65.
att(a1,a26):-0.44.
att(a1,a27):-0.36.
att(a1,a28):-0.53.
att(a14,a18):-0.63.
att(a14,a21):-0.13.
att(a22,a27):-0.35.
att(a2,a4):-0.77.
att(a2,a14):-0.84.
att(a2,a16):-0.95.
att(a2,a23):-0.96.
att(a4,a17):-0.45.
att(a4,a23):-0.87.
att(a4,a26):-0.38.
att(a16,a19):-0.93.
att(a3,a5):-0.51.
att(a3,a12):-0.83.
att(a5,a18):-0.32.
att(a12,a25):-0.23.
att(a17,a25):-0.26.
att(a18,a19):-0.81.
att(a6,a7):-0.1.
att(a6,a22):-0.35.
att(a7,a18):-0.48.
att(a8,a11):-0.5.
att(a8,a15):-0.29.
att(a8,a22):-0.22.
att(a11,a19):-0.51.
att(a11,a28):-0.77.
att(a15,a21):-0.38.
att(a9,a17):-0.99.
att(a9,a19):-0.32.
att(a9,a23):-0.75.
att(a19,a28):-0.2.
att(a13,a28):-0.59.
att(a20,a22):-0.82.

# number of nodes = 28
# number of edges = 38
