arg(a0).
arg(a17).
arg(a1).
arg(a22).
arg(a26).
arg(a3).
arg(a11).
arg(a34).
arg(a4).
arg(a23).
arg(a29).
arg(a5).
arg(a12).
arg(a13).
arg(a20).
arg(a25).
arg(a6).
arg(a7).
arg(a21).
arg(a8).
arg(a27).
arg(a9).
arg(a16).
arg(a10).
arg(a15).
arg(a24).
arg(a14).
arg(a18).
arg(a31).
arg(a33).
arg(a30).
arg(a32).

att(a0,a17):-0.18.
att(a1,a22):-0.39.
att(a1,a26):-0.62.
att(a3,a11):-0.95.
att(a3,a34):-0.85.
att(a11,a12):-0.8.
att(a11,a21):-0.36.
att(a11,a27):-0.74.
att(a4,a23):-0.45.
att(a4,a29):-0.58.
att(a23,a31):-0.55.
att(a23,a33):-0.15.
att(a5,a12):-0.97.
att(a5,a13):-0.46.
att(a5,a20):-0.24.
att(a5,a25):-0.44.
att(a12,a14):-0.94.
att(a13,a18):-0.71.
att(a13,a26):-0.38.
att(a13,a29):-0.73.
att(a20,a24):-0.21.
att(a6,a22):-0.7.
att(a7,a21):-0.37.
att(a8,a11):-0.57.
att(a8,a27):-0.34.
att(a27,a31):-0.72.
att(a9,a13):-0.63.
att(a9,a16):-0.17.
att(a9,a21):-0.93.
att(a9,a29):-0.3.
att(a10,a15):-0.51.
att(a10,a17):-0.37.
att(a10,a24):-0.37.
att(a24,a25):-0.98.
att(a14,a22):-0.67.
att(a18,a26):-0.74.
att(a30,a31):-0.51.
att(a32,a33):-0.53.

# number of nodes = 32
# number of edges = 38
