arg(a0).
arg(a4).
arg(a1).
arg(a7).
arg(a17).
arg(a23).
arg(a30).
arg(a3).
arg(a10).
arg(a20).
arg(a31).
arg(a16).
arg(a32).
arg(a5).
arg(a11).
arg(a34).
arg(a26).
arg(a27).
arg(a8).
arg(a29).
arg(a9).
arg(a13).
arg(a18).
arg(a21).
arg(a14).
arg(a19).
arg(a22).
arg(a24).
arg(a28).
arg(a33).
arg(a25).

att(a0,a4):-0.69.
att(a4,a16):-0.7.
att(a4,a31):-0.78.
att(a4,a32):-0.51.
att(a1,a7):-0.93.
att(a1,a17):-0.48.
att(a1,a23):-0.73.
att(a1,a30):-0.44.
att(a7,a26):-0.4.
att(a7,a27):-0.64.
att(a7,a30):-0.44.
att(a17,a27):-0.8.
att(a17,a30):-0.68.
att(a23,a28):-0.93.
att(a23,a29):-0.91.
att(a23,a30):-0.37.
att(a23,a32):-0.96.
att(a30,a34):-0.96.
att(a3,a10):-0.99.
att(a3,a20):-0.2.
att(a3,a31):-0.69.
att(a10,a13):-0.58.
att(a10,a20):-0.15.
att(a20,a21):-0.25.
att(a20,a32):-0.3.
att(a16,a18):-0.18.
att(a5,a11):-0.11.
att(a5,a34):-0.38.
att(a11,a27):-0.98.
att(a26,a27):-0.55.
att(a8,a29):-0.59.
att(a8,a30):-0.41.
att(a8,a31):-0.5.
att(a9,a11):-0.79.
att(a13,a18):-0.85.
att(a13,a21):-0.37.
att(a18,a27):-0.87.
att(a21,a24):-0.24.
att(a14,a19):-0.9.
att(a14,a30):-0.41.
att(a14,a32):-0.63.
att(a19,a22):-0.2.
att(a24,a27):-0.99.
att(a24,a32):-0.31.
att(a24,a33):-0.47.
att(a33,a34):-0.49.
att(a25,a32):-0.96.

# number of nodes = 31
# number of edges = 47
