arg(a0).
arg(a32).
arg(a1).
arg(a23).
arg(a29).
arg(a2).
arg(a34).
arg(a35).
arg(a3).
arg(a21).
arg(a28).
arg(a30).
arg(a6).
arg(a7).
arg(a11).
arg(a9).
arg(a14).
arg(a10).
arg(a36).
arg(a19).
arg(a24).
arg(a12).
arg(a39).
arg(a13).
arg(a15).
arg(a17).
arg(a16).
arg(a33).
arg(a31).
arg(a37).
arg(a22).
arg(a38).
arg(a27).
arg(a26).

att(a0,a32):-0.13.
att(a1,a23):-0.68.
att(a1,a29):-0.44.
att(a23,a32):-0.58.
att(a23,a38):-0.64.
att(a29,a30):-0.75.
att(a2,a34):-0.24.
att(a2,a35):-0.37.
att(a3,a21):-0.47.
att(a3,a28):-0.22.
att(a3,a30):-0.53.
att(a21,a30):-0.42.
att(a21,a31):-0.11.
att(a21,a37):-0.35.
att(a28,a32):-0.91.
att(a28,a34):-0.73.
att(a28,a38):-0.47.
att(a6,a32):-0.93.
att(a7,a11):-0.79.
att(a7,a28):-0.11.
att(a11,a19):-0.36.
att(a11,a24):-0.83.
att(a9,a14):-0.65.
att(a14,a23):-0.91.
att(a10,a21):-0.4.
att(a10,a36):-0.52.
att(a36,a38):-0.44.
att(a19,a24):-0.85.
att(a24,a27):-0.92.
att(a12,a39):-0.32.
att(a13,a29):-0.11.
att(a13,a32):-0.32.
att(a13,a39):-0.9.
att(a15,a17):-0.28.
att(a15,a21):-0.93.
att(a16,a33):-0.23.
att(a16,a39):-0.66.
att(a22,a23):-0.48.
att(a27,a30):-0.76.
att(a27,a39):-0.35.
att(a26,a35):-0.49.

# number of nodes = 34
# number of edges = 41
