arg(a0).
arg(a14).
arg(a1).
arg(a2).
arg(a13).
arg(a28).
arg(a4).
arg(a8).
arg(a16).
arg(a21).
arg(a37).
arg(a5).
arg(a27).
arg(a30).
arg(a6).
arg(a31).
arg(a36).
arg(a39).
arg(a12).
arg(a20).
arg(a22).
arg(a10).
arg(a19).
arg(a11).
arg(a17).
arg(a26).
arg(a33).
arg(a18).
arg(a34).
arg(a15).
arg(a38).
arg(a32).
arg(a35).
arg(a23).
arg(a29).
arg(a25).

att(a0,a14):-0.97.
att(a14,a15):-0.96.
att(a14,a28):-0.58.
att(a1,a2):-0.38.
att(a2,a13):-0.38.
att(a2,a14):-0.15.
att(a2,a28):-0.36.
att(a28,a31):-0.38.
att(a4,a8):-0.39.
att(a4,a16):-0.58.
att(a4,a21):-0.35.
att(a4,a37):-0.22.
att(a8,a12):-0.75.
att(a8,a13):-0.32.
att(a8,a20):-0.97.
att(a8,a22):-0.32.
att(a8,a31):-0.96.
att(a16,a32):-0.5.
att(a16,a38):-0.58.
att(a5,a27):-0.2.
att(a5,a30):-0.51.
att(a30,a36):-0.62.
att(a6,a28):-0.72.
att(a6,a31):-0.29.
att(a6,a36):-0.95.
att(a6,a39):-0.77.
att(a12,a18):-0.7.
att(a12,a34):-0.94.
att(a20,a36):-0.37.
att(a22,a26):-0.94.
att(a22,a30):-0.51.
att(a22,a34):-0.25.
att(a10,a13):-0.99.
att(a10,a19):-1.0.
att(a10,a31):-0.78.
att(a11,a17):-0.85.
att(a11,a20):-0.94.
att(a11,a26):-0.57.
att(a11,a30):-0.97.
att(a11,a33):-0.52.
att(a18,a19):-0.18.
att(a18,a35):-0.5.
att(a34,a39):-0.16.
att(a15,a38):-0.1.
att(a23,a29):-0.76.
att(a29,a37):-0.91.
att(a25,a30):-0.41.
att(a25,a37):-0.32.

# number of nodes = 36
# number of edges = 48
