arg(a0).
arg(a4).
arg(a1).
arg(a23).
arg(a30).
arg(a44).
arg(a2).
arg(a14).
arg(a16).
arg(a3).
arg(a34).
arg(a22).
arg(a5).
arg(a24).
arg(a6).
arg(a15).
arg(a25).
arg(a35).
arg(a7).
arg(a48).
arg(a8).
arg(a11).
arg(a21).
arg(a28).
arg(a9).
arg(a45).
arg(a10).
arg(a12).
arg(a29).
arg(a38).
arg(a20).
arg(a47).
arg(a13).
arg(a39).
arg(a49).
arg(a17).
arg(a41).
arg(a43).
arg(a31).
arg(a18).
arg(a26).
arg(a19).
arg(a37).
arg(a33).
arg(a46).
arg(a27).
arg(a40).
arg(a36).
arg(a42).

att(a0,a4):-0.87.
att(a4,a16):-0.4.
att(a4,a22):-0.57.
att(a4,a34):-0.54.
att(a1,a23):-0.47.
att(a1,a30):-0.19.
att(a1,a44):-0.52.
att(a23,a28):-0.26.
att(a23,a38):-0.58.
att(a23,a44):-0.25.
att(a2,a14):-0.65.
att(a2,a16):-0.8.
att(a14,a15):-0.79.
att(a16,a31):-0.68.
att(a16,a41):-0.52.
att(a3,a34):-0.8.
att(a34,a49):-0.28.
att(a5,a24):-0.47.
att(a24,a33):-0.33.
att(a6,a15):-0.16.
att(a6,a25):-0.32.
att(a6,a35):-0.54.
att(a15,a17):-0.21.
att(a15,a41):-0.98.
att(a15,a43):-0.23.
att(a15,a48):-0.98.
att(a25,a33):-0.88.
att(a25,a46):-0.36.
att(a7,a48):-0.65.
att(a8,a11):-0.71.
att(a8,a21):-0.86.
att(a8,a22):-0.81.
att(a8,a25):-0.5.
att(a8,a28):-0.28.
att(a11,a20):-0.97.
att(a11,a30):-0.4.
att(a11,a47):-0.29.
att(a21,a29):-0.69.
att(a28,a40):-0.63.
att(a9,a15):-0.83.
att(a9,a45):-0.26.
att(a10,a12):-0.75.
att(a10,a29):-0.82.
att(a10,a38):-0.62.
att(a12,a13):-0.74.
att(a12,a25):-0.87.
att(a12,a39):-0.88.
att(a12,a49):-0.76.
att(a29,a47):-0.8.
att(a20,a38):-0.71.
att(a13,a22):-0.72.
att(a41,a46):-0.69.
att(a31,a34):-0.44.
att(a18,a26):-0.29.
att(a18,a34):-0.64.
att(a26,a39):-0.31.
att(a19,a31):-0.48.
att(a19,a37):-0.13.
att(a19,a41):-0.31.
att(a19,a45):-0.4.
att(a27,a31):-0.19.
att(a27,a43):-0.38.
att(a27,a47):-0.48.
att(a40,a42):-0.47.
att(a36,a43):-0.8.

# number of nodes = 49
# number of edges = 65
