arg(a0).
arg(a20).
arg(a1).
arg(a9).
arg(a29).
arg(a43).
arg(a2).
arg(a48).
arg(a3).
arg(a33).
arg(a4).
arg(a13).
arg(a14).
arg(a37).
arg(a5).
arg(a16).
arg(a6).
arg(a15).
arg(a7).
arg(a28).
arg(a34).
arg(a8).
arg(a32).
arg(a10).
arg(a12).
arg(a18).
arg(a45).
arg(a17).
arg(a22).
arg(a26).
arg(a41).
arg(a23).
arg(a31).
arg(a24).
arg(a21).
arg(a46).
arg(a25).
arg(a38).
arg(a44).
arg(a39).
arg(a30).
arg(a27).
arg(a42).
arg(a36).
arg(a49).
arg(a47).

att(a0,a20):-0.12.
att(a20,a24):-0.58.
att(a20,a48):-0.67.
att(a1,a9):-0.2.
att(a1,a29):-0.67.
att(a1,a43):-0.73.
att(a9,a10):-0.53.
att(a2,a48):-0.2.
att(a3,a33):-0.69.
att(a4,a13):-0.46.
att(a4,a14):-0.46.
att(a4,a37):-0.21.
att(a14,a45):-0.99.
att(a5,a13):-0.36.
att(a5,a16):-0.46.
att(a6,a15):-0.96.
att(a15,a17):-0.44.
att(a15,a48):-0.5.
att(a7,a28):-0.64.
att(a7,a34):-0.61.
att(a28,a42):-0.8.
att(a34,a42):-0.45.
att(a8,a13):-0.39.
att(a8,a32):-0.78.
att(a8,a43):-0.85.
att(a32,a36):-0.23.
att(a32,a49):-0.74.
att(a10,a28):-0.25.
att(a10,a33):-0.51.
att(a10,a34):-0.56.
att(a12,a15):-0.96.
att(a12,a18):-0.59.
att(a18,a23):-0.22.
att(a18,a31):-0.83.
att(a18,a37):-0.39.
att(a17,a22):-0.36.
att(a17,a26):-0.17.
att(a17,a29):-0.96.
att(a17,a41):-0.4.
att(a22,a33):-0.46.
att(a26,a29):-0.79.
att(a26,a30):-0.53.
att(a26,a43):-0.45.
att(a23,a25):-0.54.
att(a23,a48):-0.61.
att(a24,a38):-0.67.
att(a24,a44):-0.49.
att(a24,a45):-0.29.
att(a21,a37):-0.57.
att(a21,a46):-0.27.
att(a46,a47):-0.69.
att(a25,a38):-0.15.
att(a25,a39):-0.66.
att(a30,a39):-0.55.
att(a27,a33):-0.89.
att(a27,a43):-0.54.
att(a36,a49):-0.86.

# number of nodes = 46
# number of edges = 57
