arg(a0).
arg(a15).
arg(a2).
arg(a32).
arg(a37).
arg(a3).
arg(a8).
arg(a4).
arg(a19).
arg(a34).
arg(a5).
arg(a39).
arg(a42).
arg(a49).
arg(a6).
arg(a22).
arg(a26).
arg(a36).
arg(a9).
arg(a13).
arg(a20).
arg(a10).
arg(a33).
arg(a11).
arg(a35).
arg(a44).
arg(a12).
arg(a14).
arg(a27).
arg(a48).
arg(a16).
arg(a31).
arg(a28).
arg(a30).
arg(a46).
arg(a21).
arg(a47).
arg(a43).
arg(a23).
arg(a45).
arg(a24).
arg(a25).
arg(a40).
arg(a29).
arg(a41).

att(a0,a15):-0.72.
att(a15,a16):-0.34.
att(a2,a32):-0.95.
att(a2,a37):-0.65.
att(a3,a8):-0.94.
att(a8,a26):-0.18.
att(a8,a36):-0.62.
att(a4,a19):-0.61.
att(a4,a34):-0.64.
att(a19,a28):-0.86.
att(a19,a30):-0.79.
att(a5,a39):-0.98.
att(a5,a42):-0.81.
att(a5,a49):-0.86.
att(a6,a22):-0.55.
att(a22,a43):-0.94.
att(a26,a28):-0.23.
att(a26,a37):-0.2.
att(a9,a13):-0.4.
att(a9,a20):-0.43.
att(a13,a35):-0.59.
att(a20,a27):-0.7.
att(a20,a35):-0.56.
att(a20,a44):-0.75.
att(a20,a46):-0.78.
att(a10,a33):-0.26.
att(a33,a46):-0.59.
att(a33,a48):-0.94.
att(a11,a35):-0.68.
att(a11,a44):-0.34.
att(a12,a14):-0.21.
att(a12,a22):-0.87.
att(a12,a27):-0.38.
att(a12,a32):-0.98.
att(a12,a42):-0.41.
att(a12,a48):-0.39.
att(a14,a32):-0.64.
att(a27,a30):-0.18.
att(a27,a42):-0.52.
att(a16,a31):-0.47.
att(a16,a42):-0.94.
att(a28,a37):-0.79.
att(a28,a40):-0.41.
att(a28,a49):-0.75.
att(a30,a34):-0.92.
att(a46,a47):-0.76.
att(a21,a37):-0.14.
att(a21,a46):-0.57.
att(a21,a47):-0.21.
att(a43,a46):-0.49.
att(a43,a48):-0.75.
att(a23,a45):-0.38.
att(a45,a47):-0.72.
att(a24,a34):-0.4.
att(a24,a45):-0.73.
att(a24,a47):-0.46.
att(a25,a35):-0.26.
att(a25,a43):-0.4.
att(a25,a46):-0.61.
att(a25,a48):-0.15.
att(a25,a49):-0.22.
att(a29,a36):-0.59.
att(a41,a42):-0.78.
att(a41,a49):-0.91.

# number of nodes = 45
# number of edges = 64
