arg(a0).
arg(a18).
arg(a1).
arg(a5).
arg(a26).
arg(a45).
arg(a2).
arg(a13).
arg(a38).
arg(a42).
arg(a44).
arg(a54).
arg(a3).
arg(a17).
arg(a4).
arg(a19).
arg(a58).
arg(a37).
arg(a53).
arg(a6).
arg(a34).
arg(a49).
arg(a7).
arg(a29).
arg(a40).
arg(a8).
arg(a48).
arg(a9).
arg(a35).
arg(a47).
arg(a10).
arg(a11).
arg(a27).
arg(a43).
arg(a50).
arg(a12).
arg(a52).
arg(a57).
arg(a55).
arg(a14).
arg(a15).
arg(a16).
arg(a20).
arg(a32).
arg(a46).
arg(a56).
arg(a28).
arg(a22).
arg(a59).
arg(a23).
arg(a33).
arg(a24).
arg(a25).
arg(a41).
arg(a30).
arg(a51).
arg(a31).
arg(a36).
arg(a39).

att(a0,a18):-0.54.
att(a18,a35):-0.27.
att(a18,a46):-0.7.
att(a1,a5):-0.54.
att(a1,a26):-0.31.
att(a1,a45):-0.94.
att(a5,a17):-0.99.
att(a5,a37):-0.97.
att(a5,a38):-0.15.
att(a5,a53):-0.24.
att(a26,a47):-0.9.
att(a45,a54):-0.43.
att(a45,a59):-0.31.
att(a2,a13):-0.71.
att(a2,a38):-0.75.
att(a2,a42):-0.78.
att(a2,a44):-0.98.
att(a2,a54):-0.59.
att(a13,a55):-0.75.
att(a42,a43):-0.34.
att(a42,a54):-0.96.
att(a42,a56):-0.97.
att(a3,a17):-0.54.
att(a3,a18):-0.25.
att(a17,a32):-0.91.
att(a4,a19):-0.38.
att(a4,a38):-0.96.
att(a4,a42):-0.11.
att(a4,a54):-0.55.
att(a4,a58):-0.91.
att(a19,a56):-0.31.
att(a37,a54):-0.31.
att(a6,a17):-0.73.
att(a6,a34):-0.63.
att(a6,a49):-0.94.
att(a49,a57):-0.11.
att(a7,a29):-0.32.
att(a7,a40):-0.18.
att(a29,a41):-0.76.
att(a40,a52):-0.71.
att(a8,a48):-0.19.
att(a9,a35):-0.33.
att(a9,a37):-0.85.
att(a9,a47):-0.66.
att(a35,a50):-0.96.
att(a47,a49):-0.71.
att(a47,a51):-0.6.
att(a10,a18):-0.56.
att(a11,a27):-0.93.
att(a11,a43):-0.34.
att(a11,a50):-0.17.
att(a27,a34):-0.3.
att(a27,a53):-0.91.
att(a43,a52):-0.21.
att(a43,a53):-0.95.
att(a43,a58):-0.17.
att(a50,a55):-0.82.
att(a12,a52):-0.93.
att(a12,a57):-0.54.
att(a52,a53):-0.17.
att(a14,a37):-0.26.
att(a14,a53):-0.72.
att(a14,a54):-0.23.
att(a15,a57):-0.8.
att(a16,a20):-0.52.
att(a16,a34):-0.93.
att(a16,a50):-0.19.
att(a20,a26):-0.93.
att(a20,a28):-0.14.
att(a20,a55):-0.81.
att(a28,a32):-0.19.
att(a28,a38):-0.17.
att(a22,a55):-0.4.
att(a22,a59):-0.18.
att(a23,a33):-0.59.
att(a23,a35):-0.74.
att(a24,a32):-0.31.
att(a25,a45):-0.76.
att(a30,a51):-0.1.
att(a31,a41):-0.83.
att(a31,a44):-0.76.
att(a31,a47):-0.64.
att(a36,a40):-0.52.
att(a36,a46):-0.14.
att(a36,a56):-0.59.
att(a39,a41):-0.26.
att(a39,a56):-0.45.

# number of nodes = 59
# number of edges = 87
