arg(a0).
arg(a47).
arg(a1).
arg(a8).
arg(a32).
arg(a46).
arg(a2).
arg(a12).
arg(a14).
arg(a21).
arg(a30).
arg(a57).
arg(a3).
arg(a24).
arg(a48).
arg(a49).
arg(a59).
arg(a4).
arg(a33).
arg(a5).
arg(a39).
arg(a45).
arg(a6).
arg(a34).
arg(a40).
arg(a50).
arg(a52).
arg(a7).
arg(a35).
arg(a19).
arg(a9).
arg(a16).
arg(a17).
arg(a10).
arg(a58).
arg(a11).
arg(a26).
arg(a44).
arg(a53).
arg(a13).
arg(a28).
arg(a41).
arg(a36).
arg(a15).
arg(a25).
arg(a37).
arg(a42).
arg(a18).
arg(a20).
arg(a27).
arg(a51).
arg(a22).
arg(a23).
arg(a43).
arg(a56).
arg(a29).
arg(a55).
arg(a31).
arg(a54).
arg(a38).

att(a0,a47):-0.99.
att(a47,a49):-0.57.
att(a1,a8):-0.3.
att(a1,a32):-0.85.
att(a1,a46):-0.44.
att(a8,a19):-0.14.
att(a8,a30):-0.12.
att(a32,a34):-0.31.
att(a32,a57):-0.64.
att(a2,a12):-0.61.
att(a2,a14):-0.43.
att(a2,a21):-0.8.
att(a2,a30):-0.31.
att(a2,a57):-0.85.
att(a12,a40):-0.59.
att(a12,a45):-0.25.
att(a12,a52):-0.97.
att(a12,a53):-0.82.
att(a14,a36):-0.37.
att(a14,a59):-0.37.
att(a21,a27):-0.37.
att(a21,a47):-0.18.
att(a21,a51):-0.59.
att(a30,a39):-0.16.
att(a30,a55):-0.71.
att(a3,a24):-0.66.
att(a3,a48):-0.7.
att(a3,a49):-0.22.
att(a3,a59):-0.53.
att(a24,a33):-0.97.
att(a24,a43):-0.22.
att(a24,a50):-0.91.
att(a4,a33):-0.83.
att(a33,a56):-0.21.
att(a5,a39):-0.64.
att(a5,a45):-0.21.
att(a6,a34):-0.17.
att(a6,a40):-0.18.
att(a6,a50):-0.78.
att(a6,a52):-0.92.
att(a40,a45):-0.46.
att(a40,a46):-0.2.
att(a40,a53):-0.78.
att(a7,a33):-0.27.
att(a7,a35):-0.89.
att(a35,a46):-0.93.
att(a35,a54):-0.14.
att(a35,a55):-0.62.
att(a9,a16):-0.38.
att(a9,a17):-0.67.
att(a9,a19):-0.29.
att(a9,a52):-0.5.
att(a16,a17):-0.79.
att(a17,a25):-0.6.
att(a17,a37):-0.13.
att(a17,a41):-0.32.
att(a17,a42):-0.92.
att(a10,a12):-0.37.
att(a10,a57):-0.51.
att(a10,a58):-0.12.
att(a11,a26):-0.45.
att(a11,a40):-0.41.
att(a11,a44):-0.92.
att(a11,a52):-0.15.
att(a44,a46):-0.83.
att(a44,a58):-0.23.
att(a53,a58):-0.35.
att(a13,a28):-0.21.
att(a13,a41):-0.51.
att(a13,a57):-0.47.
att(a28,a32):-0.1.
att(a41,a49):-0.39.
att(a41,a50):-0.75.
att(a41,a56):-0.75.
att(a15,a57):-0.44.
att(a15,a58):-0.87.
att(a25,a41):-0.35.
att(a25,a42):-0.65.
att(a25,a56):-0.35.
att(a18,a40):-0.89.
att(a18,a45):-0.22.
att(a20,a28):-0.73.
att(a20,a37):-0.25.
att(a20,a40):-0.2.
att(a20,a45):-0.49.
att(a27,a29):-0.44.
att(a22,a42):-0.35.
att(a22,a52):-0.63.
att(a23,a28):-0.44.
att(a23,a34):-0.35.
att(a43,a55):-0.6.
att(a29,a46):-0.14.
att(a55,a59):-0.31.
att(a31,a32):-0.51.
att(a31,a50):-0.46.
att(a31,a53):-0.51.
att(a31,a58):-0.52.
att(a38,a48):-0.86.
att(a38,a53):-0.69.

# number of nodes = 60
# number of edges = 99
