arg(a0).
arg(a32).
arg(a1).
arg(a25).
arg(a33).
arg(a45).
arg(a58).
arg(a2).
arg(a18).
arg(a21).
arg(a34).
arg(a53).
arg(a3).
arg(a22).
arg(a4).
arg(a7).
arg(a27).
arg(a36).
arg(a42).
arg(a47).
arg(a5).
arg(a23).
arg(a6).
arg(a11).
arg(a31).
arg(a8).
arg(a39).
arg(a52).
arg(a9).
arg(a19).
arg(a26).
arg(a51).
arg(a10).
arg(a15).
arg(a55).
arg(a56).
arg(a24).
arg(a41).
arg(a13).
arg(a57).
arg(a16).
arg(a17).
arg(a35).
arg(a50).
arg(a20).
arg(a40).
arg(a44).
arg(a43).
arg(a46).
arg(a48).
arg(a37).
arg(a30).
arg(a49).

att(a0,a32):-0.68.
att(a32,a53):-0.55.
att(a1,a25):-0.55.
att(a1,a33):-0.54.
att(a1,a45):-0.75.
att(a1,a58):-0.99.
att(a33,a55):-0.38.
att(a45,a48):-0.12.
att(a2,a18):-0.26.
att(a2,a21):-0.18.
att(a2,a34):-0.93.
att(a2,a53):-0.81.
att(a18,a32):-0.67.
att(a18,a35):-0.37.
att(a21,a40):-0.36.
att(a21,a47):-0.69.
att(a3,a22):-0.99.
att(a22,a41):-0.52.
att(a4,a7):-1.0.
att(a4,a22):-0.35.
att(a4,a27):-0.98.
att(a4,a36):-0.52.
att(a4,a42):-0.16.
att(a4,a47):-0.32.
att(a7,a58):-0.32.
att(a27,a37):-0.44.
att(a36,a42):-0.83.
att(a5,a7):-0.46.
att(a5,a23):-0.34.
att(a5,a25):-0.17.
att(a23,a25):-0.68.
att(a23,a44):-0.47.
att(a6,a11):-0.97.
att(a6,a22):-0.43.
att(a6,a31):-0.41.
att(a11,a24):-0.53.
att(a11,a39):-0.92.
att(a11,a41):-0.67.
att(a8,a18):-0.89.
att(a8,a39):-0.44.
att(a8,a52):-0.33.
att(a39,a56):-0.62.
att(a9,a19):-0.95.
att(a9,a26):-0.5.
att(a9,a33):-0.75.
att(a9,a51):-0.56.
att(a9,a58):-0.47.
att(a19,a50):-0.31.
att(a19,a55):-0.7.
att(a26,a36):-0.87.
att(a26,a43):-0.73.
att(a26,a46):-0.69.
att(a26,a48):-0.66.
att(a26,a57):-0.25.
att(a51,a57):-0.65.
att(a10,a15):-0.25.
att(a10,a18):-0.33.
att(a10,a21):-0.47.
att(a10,a26):-0.18.
att(a10,a55):-0.63.
att(a10,a56):-0.56.
att(a15,a25):-0.64.
att(a15,a57):-0.28.
att(a24,a25):-0.14.
att(a24,a39):-0.24.
att(a13,a33):-0.49.
att(a13,a45):-0.53.
att(a13,a58):-0.61.
att(a16,a18):-0.39.
att(a17,a24):-0.88.
att(a17,a42):-0.33.
att(a17,a45):-0.54.
att(a17,a55):-0.34.
att(a35,a46):-0.38.
att(a35,a55):-0.72.
att(a20,a31):-0.38.
att(a40,a57):-0.15.
att(a44,a57):-0.5.
att(a46,a49):-0.15.
att(a48,a56):-0.68.
att(a37,a45):-0.11.
att(a37,a52):-0.28.
att(a30,a49):-0.69.

# number of nodes = 53
# number of edges = 83
