arg(a0).
arg(a18).
arg(a1).
arg(a19).
arg(a30).
arg(a33).
arg(a38).
arg(a47).
arg(a49).
arg(a2).
arg(a3).
arg(a23).
arg(a26).
arg(a34).
arg(a44).
arg(a10).
arg(a14).
arg(a31).
arg(a39).
arg(a46).
arg(a4).
arg(a13).
arg(a15).
arg(a24).
arg(a32).
arg(a36).
arg(a40).
arg(a5).
arg(a25).
arg(a35).
arg(a41).
arg(a6).
arg(a17).
arg(a28).
arg(a48).
arg(a7).
arg(a21).
arg(a8).
arg(a37).
arg(a42).
arg(a9).
arg(a12).
arg(a29).
arg(a43).
arg(a11).
arg(a16).
arg(a22).
arg(a27).
arg(a45).

att(a0,a18):-1.0.
att(a18,a22):-0.53.
att(a18,a23):-0.83.
att(a1,a19):-0.36.
att(a1,a30):-0.65.
att(a1,a33):-0.23.
att(a1,a38):-0.25.
att(a1,a47):-0.99.
att(a1,a49):-0.74.
att(a19,a25):-0.23.
att(a30,a36):-0.75.
att(a30,a40):-0.93.
att(a30,a49):-0.54.
att(a33,a37):-0.78.
att(a38,a40):-0.33.
att(a2,a3):-0.59.
att(a2,a23):-0.52.
att(a2,a26):-0.75.
att(a2,a34):-0.27.
att(a2,a44):-0.58.
att(a2,a49):-0.53.
att(a3,a10):-0.12.
att(a3,a14):-0.86.
att(a3,a26):-0.36.
att(a3,a31):-0.64.
att(a3,a39):-0.2.
att(a3,a46):-0.93.
att(a23,a26):-0.79.
att(a23,a29):-0.77.
att(a23,a32):-0.78.
att(a23,a42):-0.55.
att(a26,a33):-0.67.
att(a34,a39):-0.86.
att(a44,a48):-0.82.
att(a10,a29):-0.53.
att(a10,a36):-0.23.
att(a10,a39):-0.68.
att(a10,a43):-0.2.
att(a10,a48):-0.37.
att(a14,a41):-0.82.
att(a14,a42):-0.74.
att(a31,a36):-0.98.
att(a31,a45):-0.55.
att(a4,a13):-0.7.
att(a4,a15):-0.47.
att(a4,a24):-0.96.
att(a4,a32):-0.75.
att(a4,a36):-0.12.
att(a4,a40):-0.62.
att(a4,a46):-0.67.
att(a4,a49):-0.84.
att(a13,a25):-0.59.
att(a13,a35):-0.72.
att(a13,a39):-0.9.
att(a13,a48):-0.72.
att(a15,a41):-0.82.
att(a24,a47):-0.54.
att(a32,a42):-0.67.
att(a36,a43):-0.51.
att(a5,a25):-0.61.
att(a5,a30):-0.7.
att(a5,a35):-0.17.
att(a5,a41):-0.29.
att(a25,a27):-0.68.
att(a25,a31):-0.21.
att(a25,a33):-0.22.
att(a25,a41):-0.43.
att(a35,a39):-0.54.
att(a6,a17):-0.55.
att(a6,a28):-0.27.

# number of nodes = 49
# number of edges = 70
