arg(a0).
arg(a43).
arg(a1).
arg(a9).
arg(a14).
arg(a18).
arg(a29).
arg(a39).
arg(a2).
arg(a10).
arg(a13).
arg(a17).
arg(a25).
arg(a32).
arg(a34).
arg(a42).
arg(a3).
arg(a26).
arg(a4).
arg(a12).
arg(a15).
arg(a40).
arg(a5).
arg(a16).
arg(a37).
arg(a44).
arg(a6).
arg(a11).
arg(a7).
arg(a8).
arg(a35).
arg(a41).
arg(a23).
arg(a24).
arg(a30).
arg(a27).
arg(a33).
arg(a48).
arg(a21).
arg(a22).
arg(a45).
arg(a49).
arg(a28).
arg(a19).
arg(a36).
arg(a20).
arg(a31).
arg(a46).
arg(a47).
arg(a38).

att(a0,a43):-0.85.
att(a1,a9):-0.41.
att(a1,a14):-0.63.
att(a1,a18):-0.94.
att(a1,a29):-0.4.
att(a1,a39):-0.91.
att(a9,a13):-0.26.
att(a14,a22):-0.36.
att(a14,a25):-0.11.
att(a14,a34):-0.59.
att(a14,a43):-0.29.
att(a14,a45):-0.83.
att(a14,a49):-0.86.
att(a18,a34):-0.8.
att(a29,a36):-1.0.
att(a29,a38):-0.71.
att(a39,a41):-0.47.
att(a2,a10):-0.25.
att(a2,a13):-0.19.
att(a2,a17):-0.32.
att(a2,a25):-0.23.
att(a2,a32):-0.14.
att(a2,a34):-0.54.
att(a2,a42):-0.49.
att(a10,a34):-0.54.
att(a10,a41):-0.58.
att(a13,a15):-0.66.
att(a13,a21):-0.65.
att(a13,a35):-0.63.
att(a17,a30):-0.4.
att(a17,a37):-0.12.
att(a25,a26):-0.36.
att(a25,a31):-0.98.
att(a25,a34):-0.17.
att(a25,a43):-0.61.
att(a25,a46):-0.76.
att(a25,a47):-0.8.
att(a32,a40):-0.64.
att(a32,a45):-0.83.
att(a32,a47):-0.22.
att(a34,a42):-0.52.
att(a34,a45):-0.81.
att(a34,a48):-0.35.
att(a3,a26):-0.68.
att(a26,a47):-0.73.
att(a4,a10):-0.82.
att(a4,a12):-0.7.
att(a4,a15):-0.54.
att(a4,a40):-0.31.
att(a12,a16):-0.18.
att(a12,a27):-0.5.
att(a12,a32):-0.39.
att(a12,a33):-0.8.
att(a12,a41):-0.72.
att(a12,a48):-0.38.
att(a5,a15):-0.4.
att(a5,a16):-0.79.
att(a5,a26):-0.12.
att(a5,a37):-0.91.
att(a5,a40):-0.57.
att(a5,a44):-0.31.
att(a16,a28):-0.36.
att(a16,a33):-0.59.
att(a16,a43):-0.92.
att(a6,a11):-0.48.
att(a6,a25):-0.74.
att(a6,a26):-0.98.
att(a6,a32):-0.74.
att(a6,a37):-0.12.
att(a6,a39):-0.62.

# number of nodes = 50
# number of edges = 70
