arg(a0).
arg(a18).
arg(a1).
arg(a21).
arg(a32).
arg(a36).
arg(a46).
arg(a2).
arg(a13).
arg(a25).
arg(a30).
arg(a31).
arg(a3).
arg(a6).
arg(a9).
arg(a16).
arg(a19).
arg(a26).
arg(a42).
arg(a44).
arg(a5).
arg(a20).
arg(a15).
arg(a23).
arg(a24).
arg(a40).
arg(a7).
arg(a8).
arg(a22).
arg(a39).
arg(a11).
arg(a47).
arg(a49).
arg(a10).
arg(a29).
arg(a12).
arg(a37).
arg(a14).
arg(a27).
arg(a33).
arg(a35).
arg(a38).
arg(a17).
arg(a34).
arg(a41).
arg(a43).
arg(a45).
arg(a48).

att(a0,a18):-0.25.
att(a18,a29):-0.23.
att(a1,a21):-0.9.
att(a1,a32):-0.86.
att(a1,a36):-0.14.
att(a1,a46):-0.13.
att(a21,a32):-0.81.
att(a32,a43):-0.85.
att(a36,a43):-0.84.
att(a36,a46):-0.99.
att(a2,a13):-0.98.
att(a2,a18):-0.87.
att(a2,a25):-0.84.
att(a2,a30):-0.14.
att(a2,a31):-0.78.
att(a2,a32):-0.76.
att(a13,a18):-0.4.
att(a13,a23):-0.23.
att(a13,a29):-0.8.
att(a13,a37):-0.85.
att(a25,a38):-0.31.
att(a30,a39):-0.19.
att(a30,a46):-0.11.
att(a31,a38):-0.79.
att(a3,a6):-0.86.
att(a3,a9):-0.18.
att(a3,a16):-0.97.
att(a3,a19):-0.45.
att(a3,a26):-0.19.
att(a3,a42):-0.66.
att(a3,a44):-0.27.
att(a3,a46):-0.45.
att(a6,a15):-0.12.
att(a6,a23):-0.1.
att(a6,a24):-0.95.
att(a6,a40):-0.2.
att(a9,a11):-0.7.
att(a9,a32):-0.2.
att(a9,a47):-0.85.
att(a9,a49):-0.55.
att(a16,a18):-0.9.
att(a16,a26):-0.19.
att(a16,a33):-0.64.
att(a16,a35):-0.24.
att(a16,a37):-0.6.
att(a16,a38):-0.42.
att(a16,a49):-0.34.
att(a19,a21):-0.11.
att(a19,a31):-0.67.
att(a19,a37):-0.28.
att(a26,a27):-0.24.
att(a26,a33):-0.95.
att(a26,a35):-0.78.
att(a26,a46):-0.9.
att(a42,a47):-0.62.
att(a5,a9):-0.76.
att(a5,a18):-0.64.
att(a5,a20):-0.27.
att(a5,a36):-0.32.
att(a20,a21):-0.92.
att(a20,a23):-0.45.
att(a20,a42):-0.18.
att(a15,a21):-0.51.
att(a15,a40):-0.34.
att(a23,a42):-0.88.
att(a24,a29):-0.89.
att(a7,a13):-0.4.
att(a7,a15):-0.26.
att(a7,a18):-0.23.
att(a7,a31):-0.72.

# number of nodes = 48
# number of edges = 70
