arg(a0).
arg(a37).
arg(a1).
arg(a11).
arg(a15).
arg(a36).
arg(a44).
arg(a2).
arg(a4).
arg(a22).
arg(a41).
arg(a3).
arg(a8).
arg(a13).
arg(a31).
arg(a47).
arg(a29).
arg(a34).
arg(a38).
arg(a5).
arg(a16).
arg(a27).
arg(a6).
arg(a20).
arg(a7).
arg(a14).
arg(a21).
arg(a42).
arg(a49).
arg(a9).
arg(a10).
arg(a46).
arg(a12).
arg(a32).
arg(a40).
arg(a28).
arg(a33).
arg(a35).
arg(a43).
arg(a17).
arg(a18).
arg(a23).
arg(a19).
arg(a39).
arg(a24).
arg(a48).
arg(a26).
arg(a45).
arg(a30).

att(a0,a37):-0.49.
att(a37,a49):-0.27.
att(a1,a11):-0.41.
att(a1,a15):-0.82.
att(a1,a36):-1.0.
att(a1,a44):-0.75.
att(a11,a12):-0.8.
att(a11,a15):-0.87.
att(a11,a21):-0.48.
att(a11,a28):-0.68.
att(a11,a33):-0.6.
att(a11,a34):-0.26.
att(a11,a42):-0.68.
att(a15,a20):-0.14.
att(a36,a48):-0.4.
att(a2,a4):-0.56.
att(a2,a11):-0.12.
att(a2,a22):-0.14.
att(a2,a37):-0.22.
att(a2,a41):-0.78.
att(a4,a29):-0.5.
att(a4,a34):-0.3.
att(a4,a38):-0.35.
att(a22,a37):-0.26.
att(a41,a44):-0.49.
att(a3,a4):-0.83.
att(a3,a8):-0.99.
att(a3,a13):-0.87.
att(a3,a31):-0.84.
att(a3,a47):-0.82.
att(a8,a9):-0.84.
att(a8,a21):-0.46.
att(a8,a27):-0.3.
att(a13,a29):-0.32.
att(a13,a33):-0.89.
att(a31,a33):-0.76.
att(a31,a39):-0.73.
att(a31,a49):-0.26.
att(a29,a30):-0.94.
att(a29,a43):-0.47.
att(a34,a36):-0.72.
att(a34,a43):-0.99.
att(a38,a41):-0.89.
att(a38,a42):-0.19.
att(a38,a46):-0.18.
att(a5,a16):-0.24.
att(a5,a27):-0.47.
att(a5,a31):-0.2.
att(a5,a44):-0.15.
att(a16,a21):-0.36.
att(a27,a42):-0.99.
att(a27,a48):-0.99.
att(a6,a15):-0.26.
att(a6,a20):-0.41.
att(a20,a21):-0.54.
att(a20,a35):-0.43.
att(a20,a39):-0.94.
att(a7,a14):-0.3.
att(a7,a21):-0.45.
att(a7,a42):-0.49.
att(a7,a49):-0.49.
att(a14,a17):-0.43.
att(a14,a18):-0.15.
att(a14,a35):-0.7.
att(a14,a47):-0.54.
att(a42,a48):-0.46.
att(a9,a10):-0.43.
att(a9,a37):-0.29.
att(a9,a46):-0.99.
att(a10,a11):-0.34.
att(a10,a12):-0.14.
att(a10,a15):-0.25.

# number of nodes = 49
# number of edges = 72
