arg(a0).
arg(a10).
arg(a1).
arg(a2).
arg(a3).
arg(a13).
arg(a15).
arg(a17).
arg(a6).
arg(a11).
arg(a18).
arg(a33).
arg(a35).
arg(a46).
arg(a30).
arg(a49).
arg(a4).
arg(a44).
arg(a45).
arg(a5).
arg(a37).
arg(a12).
arg(a16).
arg(a40).
arg(a42).
arg(a48).
arg(a7).
arg(a29).
arg(a8).
arg(a39).
arg(a9).
arg(a22).
arg(a26).
arg(a25).
arg(a19).
arg(a20).
arg(a34).
arg(a14).
arg(a28).
arg(a23).
arg(a47).
arg(a38).
arg(a36).
arg(a24).
arg(a41).
arg(a27).
arg(a43).
arg(a31).

att(a0,a10):-0.99.
att(a10,a22):-0.66.
att(a10,a49):-0.46.
att(a1,a2):-0.92.
att(a1,a3):-0.92.
att(a1,a13):-0.28.
att(a1,a15):-0.74.
att(a1,a17):-0.61.
att(a2,a6):-0.99.
att(a2,a10):-0.92.
att(a2,a11):-0.91.
att(a2,a18):-0.44.
att(a2,a33):-0.29.
att(a2,a35):-0.49.
att(a2,a46):-0.46.
att(a3,a30):-0.79.
att(a3,a49):-0.77.
att(a13,a19):-0.63.
att(a13,a20):-0.62.
att(a13,a34):-0.65.
att(a15,a23):-0.82.
att(a15,a26):-0.54.
att(a15,a28):-0.78.
att(a15,a42):-0.94.
att(a15,a47):-0.83.
att(a6,a12):-0.15.
att(a6,a16):-0.41.
att(a6,a40):-0.94.
att(a6,a42):-0.18.
att(a6,a48):-0.65.
att(a11,a25):-0.47.
att(a11,a39):-0.9.
att(a11,a46):-0.89.
att(a11,a49):-0.91.
att(a18,a25):-0.91.
att(a18,a33):-0.33.
att(a18,a38):-0.53.
att(a33,a48):-0.43.
att(a35,a37):-0.18.
att(a35,a47):-0.18.
att(a30,a34):-0.19.
att(a30,a41):-0.18.
att(a4,a15):-0.59.
att(a4,a44):-0.62.
att(a4,a45):-0.95.
att(a5,a17):-0.45.
att(a5,a37):-0.6.
att(a37,a47):-0.29.
att(a12,a25):-0.85.
att(a12,a30):-0.32.
att(a12,a42):-0.68.
att(a16,a18):-0.32.
att(a16,a19):-0.26.
att(a16,a25):-0.82.
att(a16,a45):-0.36.
att(a40,a41):-0.65.
att(a42,a46):-0.66.
att(a7,a15):-0.9.
att(a7,a29):-0.11.
att(a7,a49):-0.76.
att(a29,a39):-0.31.
att(a29,a44):-0.88.
att(a29,a49):-0.86.
att(a8,a30):-0.59.
att(a8,a37):-0.84.
att(a8,a39):-0.49.
att(a39,a45):-0.43.
att(a39,a47):-0.35.
att(a9,a13):-0.9.
att(a9,a22):-0.65.
att(a9,a26):-0.85.
att(a22,a48):-0.69.
att(a26,a34):-0.58.
att(a25,a41):-0.13.

# number of nodes = 48
# number of edges = 74
