arg(a0).
arg(a20).
arg(a1).
arg(a5).
arg(a19).
arg(a30).
arg(a33).
arg(a37).
arg(a42).
arg(a47).
arg(a2).
arg(a9).
arg(a11).
arg(a17).
arg(a21).
arg(a26).
arg(a43).
arg(a3).
arg(a14).
arg(a32).
arg(a4).
arg(a24).
arg(a48).
arg(a15).
arg(a6).
arg(a22).
arg(a23).
arg(a35).
arg(a36).
arg(a38).
arg(a40).
arg(a7).
arg(a10).
arg(a27).
arg(a41).
arg(a8).
arg(a31).
arg(a44).
arg(a29).
arg(a34).
arg(a45).
arg(a12).
arg(a16).
arg(a13).
arg(a25).
arg(a39).
arg(a18).
arg(a28).
arg(a46).
arg(a49).

att(a0,a20):-0.84.
att(a20,a38):-1.0.
att(a20,a40):-0.32.
att(a1,a5):-0.92.
att(a1,a19):-0.25.
att(a1,a20):-0.47.
att(a1,a30):-0.47.
att(a1,a33):-0.9.
att(a1,a37):-0.42.
att(a1,a42):-0.85.
att(a1,a47):-0.28.
att(a5,a15):-0.27.
att(a5,a47):-0.14.
att(a19,a22):-0.32.
att(a19,a26):-0.88.
att(a19,a46):-0.37.
att(a30,a32):-0.57.
att(a30,a37):-0.41.
att(a30,a40):-0.45.
att(a30,a43):-0.65.
att(a33,a40):-0.41.
att(a33,a43):-0.4.
att(a33,a45):-0.39.
att(a42,a47):-0.16.
att(a2,a9):-0.61.
att(a2,a11):-0.66.
att(a2,a17):-0.4.
att(a2,a21):-0.54.
att(a2,a26):-0.51.
att(a2,a43):-0.69.
att(a9,a29):-0.8.
att(a9,a30):-0.97.
att(a9,a40):-0.89.
att(a11,a41):-0.27.
att(a17,a21):-0.17.
att(a17,a30):-0.34.
att(a17,a43):-0.27.
att(a21,a26):-0.32.
att(a21,a35):-0.42.
att(a26,a30):-0.67.
att(a26,a32):-0.36.
att(a26,a45):-0.8.
att(a43,a45):-0.4.
att(a43,a47):-0.52.
att(a43,a48):-0.87.
att(a3,a14):-0.71.
att(a3,a30):-0.6.
att(a3,a32):-0.21.
att(a3,a47):-0.61.
att(a14,a17):-0.22.
att(a14,a24):-0.63.
att(a14,a25):-0.69.
att(a14,a39):-0.5.
att(a14,a48):-0.9.
att(a32,a40):-1.0.
att(a4,a24):-0.57.
att(a4,a48):-0.7.
att(a24,a28):-0.94.
att(a24,a38):-0.86.
att(a15,a36):-0.17.
att(a15,a38):-0.79.
att(a15,a40):-0.64.
att(a6,a22):-0.95.
att(a6,a23):-0.79.
att(a6,a32):-0.79.
att(a6,a35):-0.55.
att(a6,a36):-1.0.
att(a6,a38):-0.83.
att(a6,a40):-0.44.
att(a6,a47):-0.31.
att(a22,a31):-0.14.
att(a23,a28):-0.82.
att(a23,a34):-0.59.
att(a23,a36):-0.1.

# number of nodes = 50
# number of edges = 74
