arg(a0).
arg(a10).
arg(a1).
arg(a5).
arg(a6).
arg(a15).
arg(a2).
arg(a4).
arg(a13).
arg(a3).
arg(a7).
arg(a8).
arg(a12).
arg(a11).
arg(a16).
arg(a19).
arg(a9).
arg(a17).
arg(a14).
arg(a18).

att(a0,a10):-0.2.
att(a10,a11):-0.16.
att(a10,a12):-0.36.
att(a10,a17):-0.98.
att(a10,a19):-0.15.
att(a1,a5):-0.66.
att(a1,a6):-0.32.
att(a1,a15):-0.26.
att(a5,a10):-0.82.
att(a5,a11):-0.73.
att(a5,a13):-0.26.
att(a6,a9):-0.84.
att(a6,a10):-0.8.
att(a6,a11):-0.26.
att(a6,a17):-0.8.
att(a15,a17):-0.52.
att(a2,a4):-0.37.
att(a2,a6):-0.95.
att(a2,a13):-0.23.
att(a2,a15):-0.11.
att(a4,a7):-0.89.
att(a4,a11):-0.26.
att(a4,a16):-0.68.
att(a4,a19):-0.22.
att(a13,a14):-0.33.
att(a13,a17):-0.8.
att(a13,a18):-0.98.
att(a3,a6):-0.85.
att(a3,a7):-0.7.
att(a3,a8):-0.3.
att(a3,a12):-0.19.
att(a7,a8):-0.44.
att(a7,a13):-0.89.
att(a7,a14):-0.11.
att(a7,a15):-0.29.
att(a7,a16):-0.31.
att(a7,a18):-0.69.
att(a7,a19):-0.6.
att(a8,a15):-0.26.
att(a12,a13):-0.97.
att(a12,a18):-0.95.
att(a12,a19):-0.98.
att(a11,a12):-0.74.
att(a11,a18):-0.41.
att(a16,a17):-0.17.
att(a9,a13):-0.8.
att(a9,a15):-0.39.
att(a17,a18):-0.92.
att(a14,a19):-0.86.

# number of nodes = 20
# number of edges = 49
