arg(a0).
arg(a1).
arg(a6).
arg(a14).
arg(a2).
arg(a3).
arg(a4).
arg(a12).
arg(a15).
arg(a18).
arg(a7).
arg(a11).
arg(a17).
arg(a8).
arg(a19).
arg(a9).
arg(a13).
arg(a10).
arg(a16).

att(a0,a1):-0.64.
att(a1,a6):-0.54.
att(a1,a14):-0.42.
att(a6,a7):-0.65.
att(a6,a11):-0.14.
att(a6,a12):-0.99.
att(a2,a3):-0.33.
att(a2,a4):-0.24.
att(a2,a12):-0.67.
att(a2,a15):-0.94.
att(a3,a15):-0.62.
att(a3,a18):-0.63.
att(a7,a12):-0.36.
att(a7,a17):-0.91.
att(a8,a19):-0.93.
att(a9,a13):-0.6.
att(a10,a12):-0.55.
att(a10,a19):-0.77.
att(a16,a19):-0.63.

# number of nodes = 19
# number of edges = 19
