arg(a0).
arg(a17).
arg(a1).
arg(a21).
arg(a26).
arg(a2).
arg(a4).
arg(a27).
arg(a3).
arg(a6).
arg(a7).
arg(a11).
arg(a19).
arg(a12).
arg(a16).
arg(a20).
arg(a28).
arg(a8).
arg(a14).
arg(a22).
arg(a25).
arg(a29).
arg(a9).
arg(a10).
arg(a13).
arg(a15).
arg(a23).
arg(a24).

att(a0,a17):-0.18.
att(a17,a20):-0.65.
att(a17,a23):-0.53.
att(a1,a21):-0.81.
att(a1,a26):-0.62.
att(a2,a4):-0.95.
att(a2,a26):-0.97.
att(a2,a27):-0.18.
att(a4,a7):-0.15.
att(a4,a11):-0.7.
att(a4,a19):-0.49.
att(a4,a26):-0.84.
att(a3,a6):-0.4.
att(a6,a7):-0.52.
att(a6,a12):-0.47.
att(a6,a16):-0.66.
att(a7,a20):-0.98.
att(a7,a28):-0.72.
att(a12,a27):-0.6.
att(a16,a19):-0.94.
att(a8,a14):-0.5.
att(a8,a19):-0.45.
att(a8,a22):-0.74.
att(a8,a25):-0.25.
att(a8,a29):-0.43.
att(a14,a19):-0.54.
att(a22,a25):-0.41.
att(a22,a28):-0.58.
att(a9,a12):-0.37.
att(a10,a11):-0.69.
att(a10,a17):-0.62.
att(a10,a21):-0.73.
att(a13,a19):-0.63.
att(a13,a27):-0.12.
att(a15,a17):-0.89.
att(a24,a27):-0.7.

# number of nodes = 28
# number of edges = 36
