arg(a0).
arg(a20).
arg(a1).
arg(a12).
arg(a15).
arg(a31).
arg(a32).
arg(a2).
arg(a23).
arg(a24).
arg(a38).
arg(a3).
arg(a33).
arg(a6).
arg(a9).
arg(a7).
arg(a22).
arg(a25).
arg(a29).
arg(a8).
arg(a16).
arg(a30).
arg(a10).
arg(a11).
arg(a13).
arg(a39).
arg(a14).
arg(a27).
arg(a26).
arg(a17).
arg(a18).
arg(a36).
arg(a21).
arg(a37).
arg(a35).
arg(a28).
arg(a34).

att(a0,a20):-0.54.
att(a1,a12):-0.54.
att(a1,a15):-0.21.
att(a1,a31):-0.83.
att(a1,a32):-0.97.
att(a12,a13):-0.96.
att(a15,a27):-0.25.
att(a15,a33):-0.7.
att(a31,a32):-0.84.
att(a31,a33):-0.75.
att(a2,a15):-0.96.
att(a2,a23):-0.94.
att(a2,a24):-0.39.
att(a2,a38):-0.92.
att(a24,a33):-0.54.
att(a3,a15):-0.1.
att(a3,a33):-0.91.
att(a6,a9):-0.6.
att(a9,a25):-0.57.
att(a9,a30):-0.6.
att(a7,a22):-0.39.
att(a7,a25):-0.88.
att(a7,a29):-0.18.
att(a25,a31):-0.83.
att(a29,a34):-0.13.
att(a8,a9):-0.2.
att(a8,a16):-0.41.
att(a16,a26):-0.29.
att(a16,a29):-0.66.
att(a10,a20):-0.83.
att(a11,a15):-0.43.
att(a11,a32):-0.2.
att(a13,a22):-0.36.
att(a13,a39):-0.52.
att(a14,a16):-0.5.
att(a27,a35):-0.28.
att(a27,a39):-0.49.
att(a17,a33):-0.77.
att(a18,a22):-0.57.
att(a18,a36):-0.65.
att(a21,a37):-0.21.
att(a28,a39):-0.58.

# number of nodes = 37
# number of edges = 42
