arg(a0).
arg(a41).
arg(a1).
arg(a2).
arg(a13).
arg(a3).
arg(a8).
arg(a40).
arg(a4).
arg(a38).
arg(a5).
arg(a21).
arg(a35).
arg(a6).
arg(a10).
arg(a44).
arg(a36).
arg(a39).
arg(a9).
arg(a18).
arg(a25).
arg(a33).
arg(a17).
arg(a31).
arg(a37).
arg(a11).
arg(a28).
arg(a42).
arg(a43).
arg(a12).
arg(a16).
arg(a14).
arg(a15).
arg(a26).
arg(a23).
arg(a24).
arg(a32).
arg(a27).
arg(a19).
arg(a20).
arg(a29).
arg(a34).
arg(a22).
arg(a30).

att(a0,a41):-0.17.
att(a1,a2):-0.66.
att(a2,a13):-0.57.
att(a13,a18):-0.37.
att(a13,a41):-0.32.
att(a3,a8):-0.88.
att(a3,a40):-0.12.
att(a8,a36):-0.12.
att(a8,a39):-0.9.
att(a4,a38):-0.88.
att(a5,a21):-0.92.
att(a5,a35):-0.13.
att(a21,a32):-0.33.
att(a6,a10):-0.76.
att(a6,a44):-0.14.
att(a10,a17):-0.74.
att(a10,a31):-0.33.
att(a10,a37):-0.3.
att(a9,a18):-0.83.
att(a9,a25):-0.69.
att(a9,a33):-0.31.
att(a18,a27):-0.33.
att(a25,a31):-0.57.
att(a17,a24):-0.22.
att(a17,a32):-0.66.
att(a17,a40):-0.3.
att(a17,a44):-0.74.
att(a11,a21):-0.55.
att(a11,a28):-0.46.
att(a11,a42):-0.62.
att(a11,a43):-0.21.
att(a11,a44):-0.32.
att(a28,a31):-0.28.
att(a12,a16):-0.27.
att(a12,a28):-0.82.
att(a12,a36):-0.51.
att(a12,a40):-0.95.
att(a16,a23):-0.26.
att(a16,a24):-0.31.
att(a16,a25):-0.43.
att(a14,a21):-1.0.
att(a14,a43):-0.72.
att(a14,a44):-0.53.
att(a15,a26):-0.33.
att(a15,a31):-0.89.
att(a15,a35):-0.51.
att(a26,a43):-0.82.
att(a23,a25):-0.34.
att(a23,a29):-0.77.
att(a24,a40):-0.67.
att(a27,a29):-0.52.
att(a27,a35):-0.54.
att(a19,a25):-0.14.
att(a20,a28):-0.11.
att(a20,a29):-0.13.
att(a20,a32):-0.55.
att(a20,a34):-0.87.
att(a20,a36):-0.79.
att(a34,a42):-0.7.
att(a22,a32):-0.85.
att(a22,a36):-0.11.
att(a22,a42):-0.31.
att(a30,a38):-0.8.

# number of nodes = 44
# number of edges = 63
