arg(a0).
arg(a45).
arg(a1).
arg(a4).
arg(a21).
arg(a2).
arg(a9).
arg(a13).
arg(a3).
arg(a10).
arg(a20).
arg(a5).
arg(a31).
arg(a6).
arg(a40).
arg(a48).
arg(a7).
arg(a17).
arg(a8).
arg(a12).
arg(a15).
arg(a41).
arg(a42).
arg(a14).
arg(a37).
arg(a43).
arg(a16).
arg(a33).
arg(a18).
arg(a30).
arg(a19).
arg(a44).
arg(a22).
arg(a28).
arg(a23).
arg(a34).
arg(a47).
arg(a24).
arg(a25).
arg(a27).
arg(a38).

att(a0,a45):-0.44.
att(a45,a48):-0.26.
att(a1,a4):-0.42.
att(a1,a21):-0.66.
att(a4,a20):-0.93.
att(a4,a45):-0.83.
att(a21,a45):-0.86.
att(a2,a9):-0.66.
att(a2,a13):-0.66.
att(a9,a12):-0.1.
att(a9,a20):-0.78.
att(a9,a31):-0.36.
att(a13,a41):-0.21.
att(a3,a10):-0.3.
att(a10,a15):-0.32.
att(a10,a41):-0.74.
att(a20,a30):-0.75.
att(a20,a42):-0.83.
att(a5,a31):-0.48.
att(a31,a38):-0.29.
att(a6,a40):-0.15.
att(a6,a48):-0.2.
att(a7,a17):-0.9.
att(a8,a17):-0.45.
att(a12,a42):-0.3.
att(a15,a43):-0.86.
att(a15,a48):-0.63.
att(a41,a43):-0.16.
att(a42,a47):-0.47.
att(a14,a37):-0.11.
att(a43,a48):-0.67.
att(a16,a33):-0.72.
att(a33,a48):-0.8.
att(a18,a30):-0.11.
att(a19,a44):-0.88.
att(a22,a28):-0.25.
att(a28,a45):-0.6.
att(a23,a34):-0.29.
att(a23,a47):-0.88.
att(a24,a40):-0.16.
att(a25,a48):-0.68.
att(a27,a47):-0.43.
att(a27,a48):-0.11.

# number of nodes = 41
# number of edges = 43
