arg(a0).
arg(a39).
arg(a1).
arg(a2).
arg(a6).
arg(a21).
arg(a25).
arg(a38).
arg(a4).
arg(a7).
arg(a10).
arg(a20).
arg(a32).
arg(a41).
arg(a43).
arg(a44).
arg(a3).
arg(a5).
arg(a12).
arg(a40).
arg(a27).
arg(a29).
arg(a13).
arg(a23).
arg(a48).
arg(a49).
arg(a18).
arg(a47).
arg(a8).
arg(a9).
arg(a17).
arg(a30).
arg(a33).
arg(a37).
arg(a19).
arg(a11).
arg(a22).
arg(a24).
arg(a42).
arg(a14).
arg(a35).
arg(a15).
arg(a16).
arg(a28).
arg(a34).
arg(a45).
arg(a46).
arg(a26).
arg(a36).
arg(a31).

att(a0,a39):-0.36.
att(a39,a44):-0.68.
att(a1,a2):-0.15.
att(a1,a6):-0.67.
att(a1,a21):-0.11.
att(a1,a25):-0.88.
att(a1,a38):-0.63.
att(a2,a4):-0.31.
att(a2,a7):-0.51.
att(a2,a10):-0.44.
att(a2,a20):-0.26.
att(a2,a32):-0.15.
att(a2,a41):-0.32.
att(a2,a43):-0.4.
att(a2,a44):-0.15.
att(a6,a13):-0.72.
att(a6,a32):-0.43.
att(a6,a43):-0.23.
att(a6,a44):-0.57.
att(a6,a48):-0.57.
att(a6,a49):-0.44.
att(a21,a35):-0.73.
att(a21,a37):-0.2.
att(a21,a45):-0.19.
att(a21,a46):-0.93.
att(a21,a47):-0.79.
att(a25,a36):-0.31.
att(a38,a39):-0.24.
att(a38,a43):-0.72.
att(a38,a49):-0.75.
att(a4,a27):-0.9.
att(a4,a29):-0.33.
att(a4,a44):-0.26.
att(a7,a18):-0.7.
att(a7,a47):-0.58.
att(a7,a48):-0.51.
att(a10,a19):-0.78.
att(a10,a37):-0.8.
att(a10,a43):-0.44.
att(a20,a22):-0.47.
att(a20,a34):-0.7.
att(a20,a39):-0.48.
att(a20,a40):-0.89.
att(a20,a49):-0.69.
att(a32,a39):-0.97.
att(a41,a48):-0.37.
att(a43,a48):-0.37.
att(a43,a49):-0.59.
att(a3,a5):-0.48.
att(a3,a12):-0.16.
att(a3,a20):-0.57.
att(a3,a40):-0.43.
att(a3,a43):-0.41.
att(a5,a13):-0.54.
att(a5,a23):-0.27.
att(a5,a44):-0.77.
att(a12,a33):-0.44.
att(a12,a42):-0.58.
att(a12,a49):-0.14.
att(a27,a29):-0.9.

# number of nodes = 50
# number of edges = 60
