arg(a0).
arg(a34).
arg(a1).
arg(a6).
arg(a33).
arg(a2).
arg(a38).
arg(a46).
arg(a3).
arg(a13).
arg(a25).
arg(a4).
arg(a7).
arg(a10).
arg(a22).
arg(a24).
arg(a47).
arg(a49).
arg(a5).
arg(a18).
arg(a26).
arg(a40).
arg(a43).
arg(a19).
arg(a30).
arg(a15).
arg(a48).
arg(a8).
arg(a36).
arg(a39).
arg(a42).
arg(a9).
arg(a29).
arg(a11).
arg(a12).
arg(a32).
arg(a16).
arg(a17).
arg(a20).
arg(a21).
arg(a28).
arg(a23).
arg(a41).
arg(a27).
arg(a35).
arg(a31).
arg(a37).
arg(a45).

att(a0,a34):-0.51.
att(a1,a6):-0.46.
att(a1,a33):-0.46.
att(a6,a19):-0.9.
att(a6,a30):-0.81.
att(a2,a38):-0.25.
att(a2,a46):-0.45.
att(a38,a39):-0.42.
att(a3,a13):-0.77.
att(a3,a25):-0.75.
att(a13,a39):-0.72.
att(a25,a49):-0.76.
att(a4,a7):-0.87.
att(a4,a10):-0.55.
att(a4,a22):-0.94.
att(a4,a24):-0.19.
att(a4,a47):-0.59.
att(a4,a49):-0.37.
att(a7,a15):-0.7.
att(a7,a48):-0.88.
att(a10,a29):-0.45.
att(a10,a38):-0.51.
att(a10,a47):-0.83.
att(a22,a29):-0.81.
att(a22,a49):-0.69.
att(a24,a41):-0.14.
att(a5,a18):-0.78.
att(a5,a26):-1.0.
att(a5,a40):-0.37.
att(a5,a43):-0.93.
att(a18,a33):-0.86.
att(a18,a46):-0.14.
att(a26,a40):-0.71.
att(a30,a35):-0.75.
att(a30,a43):-0.25.
att(a15,a42):-0.88.
att(a15,a43):-0.8.
att(a8,a36):-0.47.
att(a8,a39):-0.56.
att(a8,a42):-0.88.
att(a39,a42):-0.11.
att(a39,a47):-0.84.
att(a9,a10):-0.13.
att(a11,a26):-1.0.
att(a12,a32):-0.76.
att(a12,a42):-0.22.
att(a12,a48):-0.33.
att(a12,a49):-0.59.
att(a32,a46):-0.74.
att(a16,a39):-0.16.
att(a17,a25):-0.33.
att(a17,a39):-0.64.
att(a17,a42):-0.61.
att(a20,a26):-0.34.
att(a21,a28):-0.33.
att(a23,a30):-0.9.
att(a23,a39):-0.79.
att(a23,a43):-0.93.
att(a27,a32):-0.8.
att(a27,a36):-0.26.
att(a35,a43):-0.73.
att(a31,a33):-0.37.
att(a37,a46):-0.57.
att(a45,a48):-0.62.

# number of nodes = 48
# number of edges = 64
