arg(a1).
arg(a69).
arg(a2).
arg(a7).
arg(a81).
arg(a3).
arg(a32).
arg(a44).
arg(a50).
arg(a87).
arg(a4).
arg(a47).
arg(a62).
arg(a63).
arg(a84).
arg(a17).
arg(a29).
arg(a48).
arg(a8).
arg(a10).
arg(a13).
arg(a40).
arg(a11).
arg(a20).
arg(a82).
arg(a12).
arg(a38).
arg(a15).
arg(a54).
arg(a49).
arg(a61).
arg(a92).
arg(a18).
arg(a65).
arg(a66).
arg(a71).
arg(a19).
arg(a30).
arg(a21).
arg(a34).
arg(a23).
arg(a25).
arg(a70).
arg(a99).
arg(a37).
arg(a86).
arg(a26).
arg(a93).
arg(a96).
arg(a27).
arg(a45).
arg(a91).
arg(a76).
arg(a33).
arg(a57).
arg(a94).
arg(a36).
arg(a75).
arg(a78).
arg(a83).
arg(a43).
arg(a90).
arg(a55).
arg(a73).
arg(a56).
arg(a95).
arg(a59).
arg(a72).
arg(a77).
arg(a74).
arg(a89).
arg(a97).

att(a1,a69):-0.89.
att(a69,a94):-0.51.
att(a2,a7):-0.91.
att(a2,a81):-0.68.
att(a7,a17):-1.0.
att(a7,a29):-0.72.
att(a7,a48):-0.98.
att(a81,a92):-0.75.
att(a3,a32):-0.57.
att(a3,a44):-0.8.
att(a3,a50):-0.86.
att(a3,a87):-0.2.
att(a32,a84):-0.21.
att(a44,a47):-0.37.
att(a44,a90):-0.31.
att(a44,a94):-0.45.
att(a50,a73):-0.99.
att(a4,a44):-0.28.
att(a4,a47):-0.65.
att(a4,a62):-0.25.
att(a4,a63):-0.33.
att(a4,a84):-0.24.
att(a62,a69):-0.46.
att(a17,a49):-0.7.
att(a17,a61):-0.16.
att(a17,a92):-0.44.
att(a29,a45):-0.94.
att(a29,a81):-0.79.
att(a29,a91):-0.22.
att(a48,a55):-0.37.
att(a8,a81):-0.1.
att(a10,a13):-0.26.
att(a10,a40):-0.6.
att(a10,a69):-0.49.
att(a11,a20):-0.86.
att(a11,a82):-0.91.
att(a12,a38):-0.23.
att(a38,a83):-0.88.
att(a15,a44):-0.62.
att(a15,a54):-0.34.
att(a49,a82):-0.15.
att(a61,a69):-0.21.
att(a92,a97):-0.26.
att(a18,a54):-0.78.
att(a18,a65):-0.75.
att(a18,a66):-0.12.
att(a18,a71):-0.12.
att(a66,a71):-0.14.
att(a71,a87):-0.62.
att(a19,a30):-0.19.
att(a30,a76):-0.51.
att(a21,a34):-0.8.
att(a21,a65):-0.72.
att(a34,a76):-0.97.
att(a34,a94):-0.19.
att(a23,a25):-0.63.
att(a23,a62):-0.73.
att(a23,a70):-0.53.
att(a23,a99):-0.25.
att(a25,a37):-0.51.
att(a25,a86):-0.87.
att(a37,a40):-0.43.
att(a37,a78):-0.82.
att(a26,a93):-0.9.
att(a26,a96):-0.66.
att(a27,a71):-0.74.
att(a45,a70):-0.22.
att(a33,a50):-0.84.
att(a33,a57):-0.84.
att(a33,a61):-0.55.
att(a57,a95):-0.82.
att(a36,a75):-0.43.
att(a75,a81):-0.45.
att(a43,a83):-0.86.
att(a56,a61):-0.16.
att(a59,a76):-0.58.
att(a72,a77):-0.57.
att(a74,a90):-0.84.
att(a89,a96):-0.42.

# number of nodes = 72
# number of edges = 79
