arg(a0).
arg(a15).
arg(a1).
arg(a2).
arg(a6).
arg(a10).
arg(a16).
arg(a17).
arg(a9).
arg(a13).
arg(a3).
arg(a4).
arg(a14).
arg(a5).
arg(a18).
arg(a8).
arg(a11).
arg(a12).

att(a0,a15):-0.15.
att(a15,a16):-0.67.
att(a15,a18):-0.5.
att(a1,a2):-0.33.
att(a1,a6):-0.51.
att(a1,a10):-0.17.
att(a1,a16):-0.42.
att(a1,a17):-0.34.
att(a2,a9):-0.74.
att(a2,a13):-0.35.
att(a6,a10):-0.18.
att(a6,a18):-0.28.
att(a10,a14):-0.87.
att(a10,a17):-0.87.
att(a10,a18):-0.55.
att(a9,a12):-0.88.
att(a9,a15):-0.47.
att(a9,a16):-0.58.
att(a9,a17):-0.78.
att(a9,a18):-0.92.
att(a13,a14):-0.23.
att(a13,a15):-0.16.
att(a3,a16):-0.42.
att(a3,a17):-0.57.
att(a4,a10):-0.76.
att(a4,a14):-0.99.
att(a4,a15):-0.6.
att(a4,a16):-0.82.
att(a4,a17):-0.47.
att(a14,a16):-0.72.
att(a5,a6):-0.41.
att(a5,a10):-0.62.
att(a8,a11):-0.75.
att(a8,a14):-0.34.
att(a8,a16):-0.95.

# number of nodes = 18
# number of edges = 35
