arg(a0).
arg(a9).
arg(a1).
arg(a3).
arg(a5).
arg(a6).
arg(a13).
arg(a14).
arg(a2).
arg(a16).
arg(a19).
arg(a4).
arg(a8).
arg(a12).
arg(a15).
arg(a18).
arg(a7).
arg(a10).
arg(a17).
arg(a11).

att(a0,a9):-0.39.
att(a1,a3):-0.96.
att(a1,a5):-0.96.
att(a1,a6):-0.84.
att(a1,a13):-0.86.
att(a1,a14):-0.84.
att(a3,a6):-0.19.
att(a3,a14):-0.57.
att(a3,a16):-0.74.
att(a3,a19):-0.46.
att(a5,a7):-0.37.
att(a5,a10):-0.6.
att(a2,a6):-0.23.
att(a16,a17):-0.27.
att(a4,a8):-0.36.
att(a4,a12):-0.83.
att(a4,a15):-0.66.
att(a4,a18):-0.9.
att(a8,a13):-0.34.
att(a8,a19):-0.26.
att(a12,a14):-0.13.
att(a7,a14):-0.42.
att(a7,a17):-0.29.
att(a10,a11):-0.2.
att(a10,a12):-0.95.
att(a10,a16):-0.94.

# number of nodes = 20
# number of edges = 26
