arg(a0).
arg(a5).
arg(a1).
arg(a2).
arg(a9).
arg(a12).
arg(a17).
arg(a19).
arg(a18).
arg(a4).
arg(a6).
arg(a11).
arg(a15).
arg(a8).
arg(a16).
arg(a14).

att(a0,a5):-0.61.
att(a1,a2):-0.14.
att(a1,a9):-0.17.
att(a1,a12):-0.75.
att(a1,a17):-0.79.
att(a1,a19):-0.14.
att(a2,a18):-0.9.
att(a12,a16):-0.35.
att(a18,a19):-0.79.
att(a4,a6):-0.92.
att(a4,a11):-0.2.
att(a4,a18):-0.96.
att(a6,a15):-0.26.
att(a11,a19):-0.5.
att(a8,a11):-0.47.
att(a8,a12):-0.34.
att(a8,a17):-0.83.
att(a16,a19):-0.11.
att(a14,a19):-0.96.

# number of nodes = 16
# number of edges = 19
