arg(a0).
arg(a13).
arg(a1).
arg(a2).
arg(a24).
arg(a3).
arg(a10).
arg(a25).
arg(a33).
arg(a23).
arg(a4).
arg(a6).
arg(a29).
arg(a5).
arg(a21).
arg(a15).
arg(a7).
arg(a8).
arg(a28).
arg(a9).
arg(a31).
arg(a12).
arg(a27).
arg(a30).
arg(a14).
arg(a22).
arg(a16).
arg(a18).
arg(a19).
arg(a20).
arg(a34).

att(a0,a13):-0.39.
att(a13,a30):-0.94.
att(a1,a2):-0.29.
att(a1,a24):-0.68.
att(a2,a3):-0.97.
att(a2,a10):-0.25.
att(a2,a25):-0.16.
att(a2,a33):-0.78.
att(a24,a25):-0.46.
att(a3,a23):-0.13.
att(a3,a24):-0.62.
att(a10,a31):-0.23.
att(a33,a34):-0.89.
att(a4,a6):-0.77.
att(a4,a29):-0.99.
att(a4,a33):-0.73.
att(a6,a15):-0.69.
att(a5,a21):-0.31.
att(a5,a23):-0.38.
att(a5,a29):-0.36.
att(a21,a34):-0.8.
att(a15,a30):-0.41.
att(a7,a10):-0.88.
att(a8,a28):-0.34.
att(a9,a13):-0.84.
att(a12,a27):-0.35.
att(a12,a33):-0.85.
att(a14,a22):-0.9.
att(a14,a28):-0.96.
att(a22,a27):-0.77.
att(a16,a21):-0.32.
att(a18,a33):-0.42.
att(a19,a25):-0.15.
att(a19,a30):-0.33.
att(a20,a24):-0.65.

# number of nodes = 31
# number of edges = 35
