arg(a0).
arg(a2).
arg(a1).
arg(a11).
arg(a3).
arg(a9).
arg(a37).
arg(a4).
arg(a5).
arg(a17).
arg(a19).
arg(a28).
arg(a7).
arg(a24).
arg(a8).
arg(a14).
arg(a22).
arg(a26).
arg(a12).
arg(a35).
arg(a39).
arg(a13).
arg(a18).
arg(a30).
arg(a25).
arg(a15).
arg(a34).
arg(a38).
arg(a20).
arg(a27).
arg(a32).
arg(a21).
arg(a23).
arg(a33).
arg(a36).
arg(a31).

att(a0,a2):-0.74.
att(a1,a11):-0.5.
att(a11,a12):-0.99.
att(a11,a28):-0.31.
att(a11,a35):-0.48.
att(a11,a37):-0.42.
att(a11,a39):-0.16.
att(a3,a9):-0.16.
att(a3,a37):-0.4.
att(a9,a22):-0.68.
att(a9,a24):-0.77.
att(a9,a26):-0.99.
att(a37,a39):-0.26.
att(a4,a5):-0.29.
att(a4,a17):-0.49.
att(a4,a19):-0.75.
att(a4,a28):-0.44.
att(a28,a31):-0.41.
att(a7,a24):-0.44.
att(a8,a14):-0.36.
att(a8,a24):-0.37.
att(a8,a28):-0.29.
att(a14,a25):-0.68.
att(a26,a33):-0.16.
att(a26,a36):-0.81.
att(a12,a13):-0.8.
att(a12,a19):-0.51.
att(a13,a18):-0.93.
att(a13,a24):-0.85.
att(a13,a30):-0.31.
att(a13,a35):-0.56.
att(a18,a38):-0.94.
att(a30,a37):-0.61.
att(a15,a22):-0.62.
att(a15,a34):-0.13.
att(a15,a39):-0.96.
att(a34,a37):-0.93.
att(a20,a27):-0.5.
att(a20,a32):-0.8.
att(a27,a39):-0.76.
att(a21,a28):-0.62.
att(a23,a39):-0.46.
att(a33,a35):-0.66.
att(a31,a36):-0.35.

# number of nodes = 36
# number of edges = 44
