arg(a0).
arg(a35).
arg(a1).
arg(a4).
arg(a6).
arg(a19).
arg(a43).
arg(a44).
arg(a47).
arg(a2).
arg(a16).
arg(a33).
arg(a48).
arg(a5).
arg(a38).
arg(a42).
arg(a45).
arg(a8).
arg(a9).
arg(a30).
arg(a10).
arg(a17).
arg(a27).
arg(a11).
arg(a34).
arg(a12).
arg(a13).
arg(a29).
arg(a14).
arg(a18).
arg(a15).
arg(a23).
arg(a37).
arg(a20).
arg(a40).
arg(a21).
arg(a22).
arg(a24).
arg(a36).
arg(a26).
arg(a39).
arg(a46).

att(a0,a35):-0.48.
att(a1,a4):-0.73.
att(a1,a6):-0.23.
att(a1,a19):-0.91.
att(a1,a43):-0.22.
att(a1,a44):-0.12.
att(a1,a47):-0.34.
att(a4,a33):-0.55.
att(a4,a48):-0.88.
att(a6,a45):-0.42.
att(a19,a37):-0.78.
att(a19,a48):-0.72.
att(a43,a46):-0.61.
att(a44,a48):-0.6.
att(a2,a16):-0.3.
att(a2,a35):-0.23.
att(a16,a17):-0.61.
att(a33,a35):-0.29.
att(a5,a38):-0.78.
att(a5,a42):-0.57.
att(a38,a47):-0.57.
att(a45,a48):-0.22.
att(a8,a16):-0.48.
att(a9,a30):-0.16.
att(a30,a34):-0.98.
att(a10,a17):-0.68.
att(a10,a27):-0.83.
att(a11,a16):-0.91.
att(a11,a34):-0.63.
att(a12,a48):-0.78.
att(a13,a29):-0.42.
att(a13,a30):-0.21.
att(a13,a38):-0.35.
att(a14,a18):-0.96.
att(a15,a19):-0.1.
att(a15,a23):-0.45.
att(a23,a40):-0.8.
att(a37,a39):-0.96.
att(a37,a48):-0.79.
att(a20,a40):-0.66.
att(a21,a22):-0.95.
att(a21,a24):-0.89.
att(a21,a37):-0.89.
att(a22,a27):-0.15.
att(a22,a36):-0.37.
att(a22,a45):-0.15.
att(a24,a37):-0.11.
att(a36,a44):-0.97.
att(a26,a36):-0.84.
att(a39,a46):-0.73.

# number of nodes = 42
# number of edges = 50
