arg(a0).
arg(a47).
arg(a1).
arg(a2).
arg(a5).
arg(a23).
arg(a34).
arg(a45).
arg(a3).
arg(a10).
arg(a29).
arg(a4).
arg(a11).
arg(a15).
arg(a31).
arg(a6).
arg(a21).
arg(a38).
arg(a7).
arg(a24).
arg(a49).
arg(a9).
arg(a14).
arg(a12).
arg(a13).
arg(a30).
arg(a40).
arg(a28).
arg(a35).
arg(a16).
arg(a17).
arg(a18).
arg(a32).
arg(a43).
arg(a19).
arg(a20).
arg(a44).
arg(a39).
arg(a22).
arg(a36).
arg(a25).
arg(a37).
arg(a27).
arg(a41).
arg(a33).
arg(a48).
arg(a46).

att(a0,a47):-0.41.
att(a1,a2):-0.77.
att(a1,a5):-0.47.
att(a1,a23):-0.85.
att(a1,a34):-0.54.
att(a1,a45):-0.48.
att(a5,a11):-0.6.
att(a5,a15):-0.68.
att(a5,a31):-0.28.
att(a23,a29):-0.71.
att(a34,a37):-0.53.
att(a3,a10):-0.46.
att(a3,a29):-0.34.
att(a4,a47):-0.48.
att(a11,a14):-0.41.
att(a6,a21):-0.15.
att(a6,a38):-0.1.
att(a21,a34):-0.43.
att(a21,a39):-0.45.
att(a38,a44):-0.88.
att(a7,a24):-0.59.
att(a7,a49):-0.65.
att(a24,a34):-0.94.
att(a9,a15):-0.17.
att(a14,a23):-0.13.
att(a14,a28):-0.94.
att(a14,a35):-0.22.
att(a14,a45):-0.85.
att(a12,a14):-0.92.
att(a13,a15):-0.72.
att(a13,a24):-0.47.
att(a13,a30):-0.85.
att(a13,a40):-0.16.
att(a40,a49):-0.59.
att(a28,a41):-0.67.
att(a35,a40):-0.55.
att(a16,a47):-0.83.
att(a17,a18):-0.9.
att(a17,a32):-0.77.
att(a18,a28):-0.9.
att(a18,a43):-0.31.
att(a19,a28):-0.1.
att(a19,a35):-0.98.
att(a20,a28):-0.15.
att(a20,a30):-0.73.
att(a20,a44):-0.22.
att(a22,a30):-0.48.
att(a22,a36):-0.23.
att(a22,a47):-0.32.
att(a25,a37):-0.9.
att(a37,a41):-0.81.
att(a27,a37):-0.58.
att(a41,a43):-0.36.
att(a33,a36):-0.77.
att(a33,a48):-0.15.
att(a46,a48):-0.16.

# number of nodes = 47
# number of edges = 56
