arg(a0).
arg(a35).
arg(a1).
arg(a21).
arg(a28).
arg(a43).
arg(a2).
arg(a14).
arg(a39).
arg(a41).
arg(a3).
arg(a20).
arg(a31).
arg(a46).
arg(a4).
arg(a8).
arg(a29).
arg(a32).
arg(a5).
arg(a19).
arg(a30).
arg(a37).
arg(a49).
arg(a6).
arg(a34).
arg(a7).
arg(a9).
arg(a10).
arg(a25).
arg(a11).
arg(a26).
arg(a12).
arg(a13).
arg(a15).
arg(a23).
arg(a16).
arg(a17).
arg(a24).
arg(a18).
arg(a40).
arg(a38).
arg(a42).
arg(a27).
arg(a36).
arg(a45).

att(a0,a35):-0.29.
att(a1,a21):-0.61.
att(a1,a28):-0.46.
att(a1,a43):-0.4.
att(a2,a14):-0.38.
att(a2,a39):-0.45.
att(a2,a41):-0.79.
att(a14,a31):-0.41.
att(a14,a49):-0.13.
att(a3,a14):-0.31.
att(a3,a20):-0.34.
att(a3,a31):-0.68.
att(a3,a46):-0.84.
att(a20,a29):-0.29.
att(a31,a32):-0.47.
att(a4,a8):-0.37.
att(a4,a29):-0.36.
att(a4,a32):-0.44.
att(a29,a32):-0.85.
att(a32,a38):-0.74.
att(a5,a19):-0.16.
att(a5,a30):-0.74.
att(a5,a37):-0.9.
att(a5,a49):-0.19.
att(a19,a38):-0.3.
att(a30,a40):-0.87.
att(a6,a28):-0.15.
att(a6,a34):-0.44.
att(a34,a36):-0.32.
att(a7,a20):-0.64.
att(a9,a41):-0.21.
att(a10,a25):-0.66.
att(a10,a29):-0.69.
att(a10,a30):-0.93.
att(a25,a37):-0.6.
att(a11,a26):-0.86.
att(a11,a39):-0.43.
att(a26,a35):-0.91.
att(a12,a49):-0.68.
att(a13,a25):-0.39.
att(a13,a37):-0.31.
att(a15,a23):-0.15.
att(a15,a43):-0.31.
att(a23,a42):-0.92.
att(a16,a35):-0.63.
att(a16,a39):-0.81.
att(a17,a24):-0.88.
att(a17,a32):-0.66.
att(a24,a41):-0.15.
att(a18,a40):-0.44.
att(a18,a41):-0.65.
att(a40,a46):-0.9.
att(a42,a43):-0.98.
att(a42,a45):-0.24.
att(a27,a43):-0.88.
att(a36,a45):-0.61.

# number of nodes = 45
# number of edges = 56
