arg(a0).
arg(a39).
arg(a1).
arg(a4).
arg(a44).
arg(a2).
arg(a9).
arg(a22).
arg(a30).
arg(a33).
arg(a48).
arg(a3).
arg(a40).
arg(a49).
arg(a6).
arg(a12).
arg(a13).
arg(a14).
arg(a19).
arg(a38).
arg(a5).
arg(a18).
arg(a16).
arg(a20).
arg(a23).
arg(a43).
arg(a7).
arg(a36).
arg(a8).
arg(a28).
arg(a47).
arg(a17).
arg(a46).
arg(a10).
arg(a27).
arg(a41).
arg(a45).
arg(a11).
arg(a32).
arg(a26).
arg(a34).
arg(a21).
arg(a25).
arg(a29).
arg(a31).
arg(a15).
arg(a37).
arg(a42).
arg(a24).
arg(a35).

att(a0,a39):-0.13.
att(a39,a44):-0.88.
att(a1,a4):-0.69.
att(a1,a44):-0.33.
att(a4,a6):-0.92.
att(a4,a12):-0.97.
att(a4,a13):-0.57.
att(a4,a14):-0.28.
att(a4,a19):-0.36.
att(a4,a33):-0.72.
att(a4,a38):-0.72.
att(a4,a44):-0.67.
att(a2,a9):-0.88.
att(a2,a22):-0.81.
att(a2,a30):-0.39.
att(a2,a33):-0.15.
att(a2,a48):-0.98.
att(a9,a17):-0.51.
att(a9,a20):-0.95.
att(a9,a46):-0.52.
att(a9,a49):-0.59.
att(a22,a27):-0.73.
att(a22,a34):-0.52.
att(a22,a43):-0.6.
att(a3,a4):-0.62.
att(a3,a33):-0.53.
att(a3,a40):-0.47.
att(a3,a49):-0.13.
att(a6,a16):-0.73.
att(a6,a20):-0.12.
att(a6,a23):-0.38.
att(a6,a30):-0.78.
att(a6,a43):-0.54.
att(a12,a18):-0.75.
att(a12,a19):-0.62.
att(a12,a26):-0.55.
att(a12,a34):-0.28.
att(a13,a21):-0.26.
att(a13,a25):-0.41.
att(a14,a16):-0.53.
att(a14,a17):-0.83.
att(a14,a29):-0.43.
att(a14,a31):-0.22.
att(a14,a39):-0.54.
att(a19,a28):-0.22.
att(a19,a31):-0.63.
att(a19,a39):-0.68.
att(a19,a43):-0.35.
att(a19,a44):-0.58.
att(a19,a46):-0.46.
att(a38,a39):-0.21.
att(a38,a43):-0.66.
att(a5,a18):-0.31.
att(a5,a39):-0.18.
att(a18,a24):-0.3.
att(a16,a26):-0.19.
att(a16,a37):-0.78.
att(a16,a42):-0.64.
att(a16,a44):-0.43.
att(a20,a33):-0.82.
att(a20,a38):-0.31.
att(a23,a25):-0.86.
att(a23,a29):-0.11.
att(a23,a42):-0.84.
att(a23,a44):-0.96.
att(a23,a47):-0.64.
att(a7,a16):-0.7.
att(a7,a36):-0.52.
att(a36,a44):-0.44.
att(a8,a9):-0.24.
att(a8,a12):-0.71.
att(a8,a28):-0.4.
att(a8,a47):-0.9.
att(a28,a40):-0.11.
att(a28,a41):-0.27.
att(a17,a28):-0.29.
att(a17,a34):-0.8.
att(a17,a49):-0.4.
att(a10,a12):-0.56.
att(a10,a14):-0.96.
att(a10,a22):-0.81.
att(a10,a27):-0.61.
att(a10,a36):-0.2.
att(a10,a41):-0.16.
att(a10,a45):-0.81.
att(a27,a37):-0.45.
att(a27,a39):-0.68.
att(a27,a47):-0.98.
att(a45,a48):-0.59.
att(a11,a32):-0.51.

# number of nodes = 50
# number of edges = 90
