arg(a0).
arg(a52).
arg(a1).
arg(a7).
arg(a16).
arg(a18).
arg(a38).
arg(a42).
arg(a58).
arg(a2).
arg(a19).
arg(a23).
arg(a31).
arg(a53).
arg(a3).
arg(a13).
arg(a4).
arg(a22).
arg(a36).
arg(a49).
arg(a5).
arg(a48).
arg(a6).
arg(a15).
arg(a55).
arg(a17).
arg(a34).
arg(a59).
arg(a8).
arg(a14).
arg(a35).
arg(a44).
arg(a9).
arg(a10).
arg(a11).
arg(a25).
arg(a32).
arg(a37).
arg(a57).
arg(a12).
arg(a28).
arg(a33).
arg(a47).
arg(a54).
arg(a21).
arg(a41).
arg(a20).
arg(a39).
arg(a46).
arg(a30).
arg(a24).
arg(a26).
arg(a50).
arg(a51).
arg(a40).

att(a0,a52):-0.57.
att(a1,a7):-0.37.
att(a1,a16):-0.99.
att(a1,a18):-0.5.
att(a1,a38):-0.56.
att(a1,a42):-0.95.
att(a1,a58):-0.87.
att(a7,a17):-0.46.
att(a7,a34):-0.36.
att(a7,a36):-0.15.
att(a7,a59):-0.43.
att(a16,a54):-0.79.
att(a18,a28):-0.94.
att(a38,a52):-0.28.
att(a38,a55):-0.3.
att(a42,a55):-0.93.
att(a2,a19):-0.71.
att(a2,a23):-0.64.
att(a2,a31):-0.73.
att(a2,a53):-0.6.
att(a23,a30):-0.67.
att(a23,a35):-0.67.
att(a23,a36):-0.95.
att(a23,a47):-0.3.
att(a23,a54):-0.69.
att(a31,a35):-0.63.
att(a31,a51):-0.89.
att(a3,a13):-0.13.
att(a13,a44):-0.84.
att(a13,a48):-0.52.
att(a4,a22):-0.2.
att(a4,a36):-0.49.
att(a4,a49):-0.29.
att(a22,a46):-0.65.
att(a22,a52):-0.16.
att(a22,a54):-0.27.
att(a49,a55):-0.94.
att(a5,a48):-0.73.
att(a5,a58):-0.38.
att(a6,a15):-0.58.
att(a6,a22):-0.47.
att(a6,a23):-0.28.
att(a6,a38):-0.63.
att(a6,a55):-0.49.
att(a15,a47):-0.47.
att(a17,a21):-0.97.
att(a17,a41):-0.81.
att(a34,a50):-0.77.
att(a8,a13):-0.67.
att(a8,a14):-0.84.
att(a8,a18):-0.89.
att(a8,a35):-0.84.
att(a8,a44):-0.66.
att(a14,a38):-0.99.
att(a14,a42):-0.85.
att(a35,a49):-0.14.
att(a35,a59):-0.11.
att(a9,a19):-0.15.
att(a9,a49):-0.19.
att(a9,a58):-0.27.
att(a9,a59):-0.41.
att(a10,a11):-0.35.
att(a10,a25):-0.33.
att(a10,a32):-0.14.
att(a10,a37):-0.14.
att(a11,a25):-0.18.
att(a11,a57):-0.27.
att(a25,a26):-0.5.
att(a25,a50):-0.66.
att(a25,a51):-0.37.
att(a37,a39):-0.33.
att(a37,a58):-0.57.
att(a12,a14):-0.72.
att(a12,a28):-0.16.
att(a12,a33):-0.15.
att(a12,a35):-0.48.
att(a33,a38):-0.85.
att(a33,a42):-0.87.
att(a33,a49):-0.9.
att(a33,a59):-0.65.
att(a54,a57):-0.85.
att(a21,a31):-0.41.
att(a41,a46):-0.22.
att(a41,a47):-0.17.
att(a20,a38):-0.23.
att(a20,a39):-0.86.
att(a20,a41):-0.78.
att(a20,a42):-0.49.
att(a20,a52):-0.85.
att(a39,a40):-0.79.
att(a46,a59):-0.33.
att(a24,a31):-0.4.
att(a26,a38):-0.47.
att(a26,a40):-0.95.
att(a26,a48):-0.93.
att(a40,a51):-0.17.

# number of nodes = 55
# number of edges = 96
